	model	all_generic	all_exception	indi_generic	indi_exception	intersect_generic	intersect_exception
0	bert-base-cased	82.99632352941177	23.115808823529413	89.25708177445216	16.729021913415288	96.06986899563319	8.296943231441048
1	bert-large-cased-whole-word-masking	89.75183823529412	18.38235294117647	89.75183823529412	18.38235294117647	97.37991266375546	11.353711790393014
2	roberta-base	79.45772058823529	27.159926470588236	87.34036646307607	18.822876179900057	95.63318777292577	12.663755458515283
3	roberta-large	81.25	29.181985294117645	91.1214953271028	18.925233644859812	95.63318777292577	17.46724890829694
4	distilroberta-base	78.26286764705883	26.516544117647058	91.09263657957246	13.064133016627078	93.88646288209607	13.973799126637553
5	distilbert-base-cased	85.79963235294117	19.43933823529412	89.8034398034398	15.233415233415235	94.75982532751091	12.663755458515283
6	squeezebert/squeezebert-uncased	85.52389705882352	21.139705882352942	92.10093252879868	13.603949533735602	97.37991266375546	7.860262008733625
7	google/mobilebert-uncased	82.72058823529412	22.977941176470587	89.76293103448276	15.625	96.94323144104804	6.986899563318777
8	allenai/longformer-base-4096	83.40992647058823	21.46139705882353	87.85310734463276	17.325800376647834	96.0	10.0
9	albert-base-v2	77.43566176470588	27.987132352941174	87.21311475409837	18.360655737704917	94.32314410480349	10.91703056768559
10	albert-large-v2	79.59558823529412	26.792279411764707	87.61329305135952	18.882175226586103	93.88646288209607	12.22707423580786
11	albert-xlarge-v2	80.65257352941177	31.893382352941174	88.98305084745762	23.46805736636245	96.06986899563319	13.100436681222707
12	albert-xxlarge-v2	77.66544117647058	32.44485294117647	79.97914494264859	32.429614181439	83.84279475982532	31.877729257641924
