models	BERT_base	BERT_large	RoBERTa_small	RoBERTa_large	DistilRoBERTa	DistilBERT	SqueezeBERT	MobileBERT	Longformer_base	Longformer_large	ALBERT_base	ALBERT_large	ALBERT_xlarge	ALBERT_xxlarge
BERT_base	1.0	0.15266569999579677	0.13457227927292614	0.10888985011153256	0.09303166119509138	0.21341516568053726	0.1633465374970227	0.19574407972466193	0.18502646670122327	0.15779587187354105	0.03610439811896128	0.07582494516151485	0.07070765294875338	0.05549800493166199
BERT_large	0.15266569999579677	1.0	0.11402515140379187	0.11552917446930373	0.06511938259511091	0.11196938624123061	0.10488781714509857	0.1337687049256626	0.14876798108998726	0.16504938038109518	0.029032644809343932	0.06350448963717586	0.06148809389100665	0.05358103181727791
RoBERTa_small	0.13457227927292614	0.11402515140379187	1.0	0.22394137086693688	0.1876401675754422	0.09981592032562885	0.0725266612807067	0.09017515655865171	0.21390250945267109	0.11573487491772247	0.024522675574455553	0.0779642732312636	0.10578567123874535	0.05071200973304548
RoBERTa_large	0.10888985011153256	0.11552917446930373	0.22394137086693688	1.0	0.16029458375736633	0.0947859029978769	0.049174691124529435	0.07880498232439985	0.12904888770584505	0.16308465147461884	0.024918469700023135	0.06207014548438511	0.10871359402912782	0.059369012564805534
DistilRoBERTa	0.09303166119509138	0.06511938259511091	0.1876401675754422	0.16029458375736633	1.0	0.10127690689988389	0.05224104973295926	0.06027984810347285	0.12669214101252885	0.08577010308401903	0.039086393050794456	0.0688719197618876	0.09879943411496793	0.06656284504180952
DistilBERT	0.21341516568053726	0.11196938624123061	0.09981592032562885	0.0947859029978769	0.10127690689988389	1.0	0.14330006413339694	0.1259008640885658	0.13633520830122728	0.12507892742520527	0.043862439250788865	0.079101008813792	0.06708745677192297	0.05974473357159456
SqueezeBERT	0.1633465374970227	0.10488781714509857	0.0725266612807067	0.049174691124529435	0.05224104973295926	0.14330006413339694	1.0	0.1410996815123026	0.157420560980431	0.12028461919238594	0.0367301462770719	0.06638482427317391	0.03993708107785786	0.04537326960466123
MobileBERT	0.19574407972466193	0.1337687049256626	0.09017515655865171	0.07880498232439985	0.06027984810347285	0.1259008640885658	0.1410996815123026	1.0	0.14964469786476223	0.1479828528776743	0.043152364835212856	0.06860482050611516	0.062298921562675726	0.05769367274221649
Longformer_base	0.18502646670122327	0.14876798108998726	0.21390250945267109	0.12904888770584505	0.12669214101252885	0.13633520830122728	0.157420560980431	0.14964469786476223	1.0	0.23966957320517143	0.04466177026856651	0.08055608541045442	0.07186025050102739	0.07302611388371925
Longformer_large	0.15779587187354105	0.16504938038109518	0.11573487491772247	0.16308465147461884	0.08577010308401903	0.12507892742520527	0.12028461919238594	0.1479828528776743	0.23966957320517143	1.0	0.05396878531991817	0.08112775693681862	0.05434272816958914	0.08595809530275549
ALBERT_base	0.03610439811896128	0.029032644809343932	0.024522675574455553	0.024918469700023135	0.039086393050794456	0.043862439250788865	0.0367301462770719	0.043152364835212856	0.04466177026856651	0.05396878531991817	1.0	0.09297740719666285	0.044789112810957585	0.11257450897418506
ALBERT_large	0.07582494516151485	0.06350448963717586	0.0779642732312636	0.06207014548438511	0.0688719197618876	0.079101008813792	0.06638482427317391	0.06860482050611516	0.08055608541045442	0.08112775693681862	0.09297740719666285	1.0	0.1153929598508884	0.09885773162472176
ALBERT_xlarge	0.07070765294875338	0.06148809389100665	0.10578567123874535	0.10871359402912782	0.09879943411496793	0.06708745677192297	0.03993708107785786	0.062298921562675726	0.07186025050102739	0.05434272816958914	0.044789112810957585	0.1153929598508884	1.0	0.07344965953380207
ALBERT_xxlarge	0.05549800493166199	0.05358103181727791	0.05071200973304548	0.059369012564805534	0.06656284504180952	0.05974473357159456	0.04537326960466123	0.05769367274221649	0.07302611388371925	0.08595809530275549	0.11257450897418506	0.09885773162472176	0.07344965953380207	1.0
