User ID,"",Word,Associative Bias,Alternative,p_Associative Bias_BERT_large,p_Alternative_BERT_large,AssociativeBiasSatisfied_BERT_large,"1) Please provide a context sentence that would determine the outcome of the statement ""The {{Word}} is [ {{Associative Bias}} / {{Alternative}} ]"".Note: The special pair of context words [ context_word_one / context_word_two ] in your context must be wrapped around by square brackets (""[ ]"") and separated by a forward slash (""/"").Your input must satisfy the requirements explained above (the special pair of words has to be exactly one word in length, mapped one-to-one to but not synonymous with [ {{Associative Bias}} / {{Alternative}} ]).For example:a. Given context sentence ""The jeans are [ new / old ].""                , the context sentence annotation can be: ""Ellie got the jeans from a [ department / thrift ] store.""b. Given context sentence ""The shark is [ aggressive / friendly ]."", the context sentence annotation can be: ""Jason [ touched / escaped ] the shark.""   ","2) Please provide the context word in your input above that would make the statement ""The {{Word}} is {{Associative Bias}}."" hold true.","3) Please provide the context word in your input above that would make the statement ""The {{Word}} is {{Alternative}}."" hold true."
XH7FWCGRRXDJ,1659,syrup,edible,malodorous,4.514199495315552,0.5012563429772854,True,Margaret smelled her bottle of maple syrup and it was [ sweet / bitter ].,sweet,bitter
XH7FWCGRRXDJ,1161,saucer,empty,filled,5.743449926376343,0.03036320849787444,True,Minnie put the saucer next to the [ sink / cat ].,sink,cat
FPMCK2P37RW2,636,chili,hot,frozen,3.8865692913532257,0.0062696170061826715,True,Mike could not put a [ finger / spoon ] into the chili.,finger,spoon
3MMFR6RXMZM2,2480,toe,long,small,6.228259950876236,2.369370684027672,True,The toe-ring easily slipped [on/off] the toe.,on,off
7TVRDX6P4GTP,65,straw,long,tiny,0.3125310176983476,0.034770043566823006,True,Jane's straw scrapes the [ bottom / wall ] of her cup.,bottom,wall
HKXM7AJCMHJQ,2101,clove,edible,inedible,41.429391503334045,0.01939168287208304,True,After cooking the close on the stove it was [warm/burnt].,different,burnt
XXKCFJGVJDTX,2006,bun,optional,mandatory,2.117398753762245,0.036010402254760265,True,I like a restaurant where a bun is [offered/required]. ,offered,required
C69D7VD39FKM,1629,fern,edible,inedible,17.032387852668762,0.20000492222607136,True,"If your dog starts eating the fern, be sure to find out if it is [ digestible / harmful ].",digestible,harmful
FPMCK2P37RW2,2218,stamp,circular,triangular,6.020357459783554,0.12112939730286597,True,Jane reached for the [round / angular] stamp.,round,angular
QHKQ32WVQEGN,831,mango,edible,artificial,27.52150595188141,0.046629001735709615,True,Taylor purchased the mango from the [grocery/toy] store.,grocery,toy
3MMFR6RXMZM2,2892,bin,empty,full,16.329418122768402,0.534613523632288,True,I was able to carry the bin with one [finger/forklift].,finger,forklift
XH7FWCGRRXDJ,1091,chisel,sharp,dull,3.353514149785042,0.23446716368198395,True,Martin hacked away with his chisel [ efficiently / clumsily ].,efficiently,clumsily
XXKCFJGVJDTX,2073,aquarium,open,abandoned,4.512205719947816,0.057910819305107004,True,They left the aquarium [ajar/behind].,ajar,behind
3MMFR6RXMZM2,2452,iron,iron,gold,1.7542652785778046,0.6599532440304756,True,The iron was designed for [household/art] projects.,household,art
XXKCFJGVJDTX,2077,grapefruit,edible,indigestible,29.10027503967285,0.0603914842940867,True,My grapefruit made me [full/sick].,full,sick
FPMCK2P37RW2,602,paper plate,blank,covered,9.571076929569244,0.26897189673036337,True,The children had [ written / eaten ] on the plate.,eaten,written
XH7FWCGRRXDJ,1566,pug,important,inconsequential,1.2514859437942505,0.09358039242215456,True,The pug is [ snuggling / deceased ].,snuggling,deceased
FPMCK2P37RW2,575,table,empty,full,0.3554662456735969,0.04524425603449345,True,Make had every square inch of the table [ cleared / covered].,cleared,covered
FPMCK2P37RW2,2587,raspberry,edible,destroyed,11.814650893211365,0.0015334999261540359,True,Bill put the raspberry in the [trash / salad].,salad,trash
XH7FWCGRRXDJ,1695,hail,cold,burning,3.7389926612377167,0.03951299004256725,True,When the hail touched Mary's skin it [ froze / sizzled ].,froze,sizzled
XH7FWCGRRXDJ,1084,lava,hot,cooled,2.1365946158766747,0.6452052854001522,True,The lava near the village was [ red / black ].,red,black
FPMCK2P37RW2,2343,box,empty,full,35.1861983537674,1.3011563569307327,True,Bill found the box to be quite [ heavy / lite ].,lite,heavy
FPMCK2P37RW2,1447,cement mixer,portable,nonmobile ,1.1810350231826303,0.02258506283396855,True,The cement mixer was attached to the [ truck / foundation ].,truck,foundation
XXKCFJGVJDTX,2177,stereo,available,broken,2.440697140991688,0.2254713559523225,True,I gave Jack a [free/malfunctioning] stereo.,free,malfunctioning
XXKCFJGVJDTX,2081,washcloth,clean,used,11.551542580127714,2.296644635498524,True,She handed me a [fresh/dirty] washcloth.,fresh,dirty
XH7FWCGRRXDJ,656,sandwich,edible,toxic,1.279618963599205,0.006109848618507385,True,The sandwich was made by [ humans / aliens ].,humans,aliens
XXKCFJGVJDTX,1796,wall,empty,complete,2.555687539279461,0.3763064276427031,True,I hung the photos on the [blank/finished] wall.,blank,finished
HKXM7AJCMHJQ,740,seaweed,edible,poisonous,19.434398412704468,5.289468914270402,True,The new sushi places use seaweed from the ocean near the [purify/power] plant.,purify,power
