Word	biased_context_prompt	adversarial_context_prompt	Associative Bias	Alternative	biased_context_word	adversarial_context_word	User IDs
popsicle	Mary made popsicles out of juice. The popsicle is ____.	Mary made popsicles out of vitamins. The popsicle is ____.	edible	nutritious	juice	vitamins	9KNVR6X2DWC4;FPMCK2P37RW2
sundial	You can find a sundial everywhere. The sundial is ____.	You can find a sundial here. The sundial is ____.	universal	local	everywhere	here	FPMCK2P37RW2;NFN2M74RPJ2Q
tablet	My tablet battery was fully charged  when it was time to leave the house. The tablet is ____.	My tablet battery was fully depleted when it was time to leave the house. The tablet is ____.	portable	stuck	charged 	depleted	FPMCK2P37RW2;NFN2M74RPJ2Q
headdress	She told me that I may wear the headdress. The headdress is ____.	She told me that I must wear the headdress. The headdress is ____.	optional	required	may	must	C69D7VD39FKM;FPMCK2P37RW2
tea	Depending on if you prefer your tea iced might depend on the occasion in which you are drinking it. The tea is ____.	Depending on if you prefer your tea hot might depend on the occasion in which you are drinking it. The tea is ____.	cold	scalding	iced	hot	C69D7VD39FKM;FPMCK2P37RW2
barrel	You will want to put the berries in a lengthy barrel. The barrel is ____.	You will want to put the berries in a short barrel. The barrel is ____.	long	small	lengthy	short	C69D7VD39FKM;FPMCK2P37RW2
blowfish	Mike greedily ate the blowfish sushi. The blowfish is ____.	Mike nervously ate the blowfish sushi. The blowfish is ____.	edible	unpalatable	greedily	nervously	FPMCK2P37RW2;NFN2M74RPJ2Q
stamp	Darren's new stamp in his collection was rather round. The stamp is ____.	Darren's new stamp in his collection was rather crinkled. The stamp is ____.	circular	scalloped	round	crinkled	FPMCK2P37RW2;QHKQ32WVQEGN
squirrel	The squirrel was a toy on the grass. The squirrel is ____.	The squirrel was a statue on the grass. The squirrel is ____.	small	enormous	toy	statue	9KNVR6X2DWC4;FPMCK2P37RW2
handlebar	Jane could reach the handle bars while sitting forward. The handlebar is ____.	Jane could reach the handle bars while sitting up. The handlebar is ____.	straight	curved	forward	up	9KNVR6X2DWC4;FPMCK2P37RW2
syrup	Jenny poured on the sweet syrup. The syrup is ____.	Jenny poured on the stiffened syrup. The syrup is ____.	edible	thickened	sweet	stiffened	9KNVR6X2DWC4;FPMCK2P37RW2
bag	All of the groceries were inside the bag. The bag is ____.	All of the groceries were outside the bag. The bag is ____.	empty	full	inside	outside	FPMCK2P37RW2;NFN2M74RPJ2Q
tarantula	Kim was thrilled when he asked her to hold the tarantula. The tarantula is ____.	Kim was terrified when he asked her to hold the tarantula. The tarantula is ____.	poisonous	safe	thrilled	terrified	HKXM7AJCMHJQ;QHKQ32WVQEGN
octopus	There are zero octopus in the sea. The octopus is ____.	There are many octopus in the sea. The octopus is ____.	extinct	plentiful	zero	many	FPMCK2P37RW2;NFN2M74RPJ2Q
skeleton	Ming was spooked by the skeleton of the man. The skeleton is ____.	Ming was spooked by the skeleton of the bird. The skeleton is ____.	human	animal	man	bird	C69D7VD39FKM;FPMCK2P37RW2
coffeemaker	Mike activated coffeemaker using the press. The coffeemaker is ____.	Mike activated coffeemaker using the remote. The coffeemaker is ____.	mechanical	manual	press	remote	FPMCK2P37RW2;QHKQ32WVQEGN
wine	I enjoy wine that's potent. The wine is ____.	I enjoy wine that's watery. The wine is ____.	strong	weak	potent	watery	FPMCK2P37RW2;NFN2M74RPJ2Q
test tube	The doctor used a empty test tube. The test tube is ____.	The doctor used a loaded test tube. The test tube is ____.	hollow	filled	empty	loaded	FPMCK2P37RW2;QHKQ32WVQEGN
gramophone	Sheila wanted to use the gramophone in the closet to listen to an old record, all depending on the moveable action of transferring it from under the boxes and clothing. The gramophone is ____.	Sheila wanted to use the gramophone in the closet to listen to an old record, all depending on the impossible  action of transferring it from under the boxes and clothing. The gramophone is ____.	portable	stuck	moveable	impossible 	C69D7VD39FKM;FPMCK2P37RW2
fence	Jake climbed the tall fence. The fence is ____.	Jake climbed the short fence. The fence is ____.	high	low	tall	short	FPMCK2P37RW2;QHKQ32WVQEGN
grate	The lid for the grate is shaped like a plate. The grate is ____.	The lid for the grate is shaped like a tray. The grate is ____.	circular	straight	plate	tray	FPMCK2P37RW2;NFN2M74RPJ2Q
odometer	Steph confirmed that her odometer was correct by measuring the distance on Google Earth. The odometer is ____.	Steph confirmed that her odometer was wrong by measuring the distance on Google Earth. The odometer is ____.	accurate	inaccurate	correct	wrong	C69D7VD39FKM;FPMCK2P37RW2
payphone	The payphone Barry used was liftable. The payphone is ____.	The payphone Barry used was flimsy. The payphone is ____.	portable	unwieldy	liftable	flimsy	FPMCK2P37RW2;NFN2M74RPJ2Q
pita	Jenny rolled the pita she made for lunch. The pita is ____.	Jenny folded the pita she made for lunch. The pita is ____.	circular	oblong	rolled	folded	9KNVR6X2DWC4;FPMCK2P37RW2
candlestick	The room containing the candlestick was dark. The candlestick is ____.	The room containing the candlestick was bright. The candlestick is ____.	empty	lit	dark	bright	FPMCK2P37RW2;NFN2M74RPJ2Q
grate	The stream of water went down the grate. The grate is ____.	The stream of water went over the grate. The grate is ____.	large	small	down	over	FPMCK2P37RW2;NFN2M74RPJ2Q
lemonade	Mark brought some acidic lemonade to lunch. The lemonade is ____.	Mark brought some sugary lemonade to lunch. The lemonade is ____.	bitter	sweet	acidic	sugary	9KNVR6X2DWC4;FPMCK2P37RW2
gondola	People were trying to get off the gondolas rides. The gondola is ____.	People were trying to get on the gondolas rides. The gondola is ____.	empty	stuffed	off	on	FPMCK2P37RW2;QHKQ32WVQEGN
face	Mary was able to pick the authentic face out of a lineup. The face is ____.	Mary was able to pick the CGI face out of a lineup. The face is ____.	real	fake	authentic	CGI	FPMCK2P37RW2;QHKQ32WVQEGN
swing	John's friend pushed him so hard on the swings at the park that it caused chains to extend extremely elevated. The swing is ____.	John's friend pushed him so hard on the swings at the park that it caused chains to extend extremely horizontal. The swing is ____.	vertical	sideways	elevated	horizontal	FPMCK2P37RW2;QHKQ32WVQEGN
alligator	The alligator emerged from a cave. The alligator is ____.	The alligator emerged from a egg. The alligator is ____.	large	tiny	cave	egg	FPMCK2P37RW2;NFN2M74RPJ2Q
bedpost	Brad noticed the bedpost was pointed as he lay in bed. The bedpost is ____.	Brad noticed the bedpost was curved as he lay in bed. The bedpost is ____.	straight	crooked	pointed	curved	C69D7VD39FKM;FPMCK2P37RW2
macadamia	The macadamia was eliminated recently. The macadamia is ____.	The macadamia was planted recently. The macadamia is ____.	extinct	growing	eliminated	planted	FPMCK2P37RW2;QHKQ32WVQEGN
beer	Tom enjoys tart beer. The beer is ____.	Tom enjoys sugary beer. The beer is ____.	bitter	sweet	tart	sugary	C69D7VD39FKM;FPMCK2P37RW2
kiwi	Amy said kiwis are exterminated. The kiwi is ____.	Amy said kiwis are growing. The kiwi is ____.	extinct	alive	exterminated	growing	9KNVR6X2DWC4;FPMCK2P37RW2
harp	Jackie played the harp's strings and found it tune. The harp is ____.	Jackie played the harp's strings and found it disharmonious. The harp is ____.	musical	dissonant	tune	disharmonious	FPMCK2P37RW2;NFN2M74RPJ2Q
cream	The cream filled the cup of hot cocoa. The cream is ____.	The cream topped the cup of hot cocoa. The cream is ____.	thick	skinny	filled	topped	9KNVR6X2DWC4;FPMCK2P37RW2
cigarette holder	There were many cigarettes in the cigarette holder. The cigarette holder is ____.	There were no cigarettes in the cigarette holder. The cigarette holder is ____.	empty	full	many	no	FPMCK2P37RW2;QHKQ32WVQEGN
card	Jolene bought empty stationary cards. The card is ____.	Jolene bought designed stationary cards. The card is ____.	blank	covered	empty	designed	FPMCK2P37RW2;NFN2M74RPJ2Q
trowel	I had to use a lengthy trowel. The trowel is ____.	I had to use a petite trowel. The trowel is ____.	long	short	lengthy	petite	9KNVR6X2DWC4;FPMCK2P37RW2
money	We went to the bank to take the money. The money is ____.	We went to the bank to give the money. The money is ____.	yours	his	take	give	FPMCK2P37RW2;QHKQ32WVQEGN
hip	I found the hip to be close. The hip is ____.	I found the hip to be distant. The hip is ____.	there	far	close	distant	FPMCK2P37RW2;NFN2M74RPJ2Q
checkbook	John ordered his checkbooks. The checkbook is ____.	John stored his checkbooks. The checkbook is ____.	empty	full	ordered	stored	FPMCK2P37RW2;NFN2M74RPJ2Q
antenna	The ant circled along the antenna. The antenna is ____.	The ant climbed along the antenna. The antenna is ____.	circular	straight	circled	climbed	FPMCK2P37RW2;NFN2M74RPJ2Q
badge	The badge makes round imprints on his shirts. The badge is ____.	The badge makes square imprints on his shirts. The badge is ____.	circular	square	round	square	FPMCK2P37RW2;NFN2M74RPJ2Q
gong	Mark smash the side of the gong making a Loud rininging. The gong is ____.	Mark smash the side of the gong making a Soft rininging. The gong is ____.	hollow	solid	Loud	Soft	FPMCK2P37RW2;QHKQ32WVQEGN
snail	I found a consumable snail by the pond yesterday. The snail is ____.	I found a noxious snail by the pond yesterday. The snail is ____.	edible	inedible	consumable	noxious	FPMCK2P37RW2;NFN2M74RPJ2Q
ring	The group of people was absentfrom the ring. The ring is ____.	The group of people was spillingfrom the ring. The ring is ____.	empty	overflowing	absent	spilling	FPMCK2P37RW2;XXKCFJGVJDTX
wing	The butterfly's wing was clear. The wing is ____.	The butterfly's wing was purple. The wing is ____.	transparent	solid	clear	purple	9KNVR6X2DWC4;XH7FWCGRRXDJ
bone	This bone clearly came from a bird. The bone is ____.	This bone clearly came from a elephant. The bone is ____.	hollow	solid	bird	elephant	9KNVR6X2DWC4;QHKQ32WVQEGN
cash register	Emily started counting the cash in the cash register. The cash register is ____.	Emily finished counting the cash in the cash register. The cash register is ____.	open	shut	started	finished	9KNVR6X2DWC4;XXKCFJGVJDTX
terrarium	The top of the terrarium went just over the tip of the trees. The terrarium is ____.	The top of the terrarium went just over the tip of the cars. The terrarium is ____.	large	small	trees	cars	NFN2M74RPJ2Q;XJKGQQWFXKTX
eagle	The enormous eagle flew over the land. The eagle is ____.	The diminutive eagle flew over the land. The eagle is ____.	large	small	enormous	diminutive	NFN2M74RPJ2Q;XJKGQQWFXKTX
antenna	Measure around the antenna. The antenna is ____.	Measure along the antenna. The antenna is ____.	circular	linear	around	along	NFN2M74RPJ2Q;XH7FWCGRRXDJ
dynamite	The dynamite reached the Site   that was on the train. The dynamite is ____.	The dynamite reached the Factory   that was on the train. The dynamite is ____.	there	elsewhere	Site 	Factory 	9KNVR6X2DWC4;XXKCFJGVJDTX
seahorse	Children from the future observed the seahorse. The seahorse is ____.	Children from the present observed the seahorse. The seahorse is ____.	extinct	alive	future	present	HWDQZR3ZTFRN;NFN2M74RPJ2Q
strap	Tiffany pulled the strap to her pants. The strap is ____.	Tiffany folded the strap to her pants. The strap is ____.	elastic	rigid	pulled	folded	FWD4Z73KK6F6;XH7FWCGRRXDJ
cactus	Angie had just germinated her cactus. The cactus is ____.	Angie had just transplanted her cactus. The cactus is ____.	small	massive	germinated	transplanted	FPMCK2P37RW2;FWD4Z73KK6F6
fire alarm	Jackson heard blaring from the fire alarm. The fire alarm is ____.	Jackson heard nothing from the fire alarm. The fire alarm is ____.	audible	soundless	blaring	nothing	7G7NZEEGPR4K;FWD4Z73KK6F6
foot	Tina's foot had outgrown the measurements of the sandal. The foot is ____.	Tina's foot had stunted the measurements of the sandal. The foot is ____.	long	short	outgrown	stunted	76VNAHQ9VAC3;HWDQZR3ZTFRN
horse	The drawing of the horse had a man head. The horse is ____.	The drawing of the horse had a animal head. The horse is ____.	human	equine	man	animal	9KNVR6X2DWC4;VNAQPVX4R36A
gift	The gift was a pair of socks. The gift is ____.	The gift was a pair of xBoxes. The gift is ____.	good	bad	socks	xBoxes	NFN2M74RPJ2Q;XJKGQQWFXKTX
mast	The ship was sailing. The mast is ____.	The ship was sinking. The mast is ____.	tall	flattened	sailing	sinking	HWDQZR3ZTFRN;VNAQPVX4R36A
woman	Karen passed  quietly. The woman is ____.	Karen spoke quietly. The woman is ____.	dead	talking	passed 	spoke	9KNVR6X2DWC4;XH7FWCGRRXDJ
pedometer	I mapped my route on Google Earth and realized that my pedometer was right. The pedometer is ____.	I mapped my route on Google Earth and realized that my pedometer was wrong. The pedometer is ____.	accurate	inaccurate	right	wrong	9KNVR6X2DWC4;XH7FWCGRRXDJ
