User ID,Word,Associative Bias,Alternative,biased_word_context,adversarial_word_context,biased_context_prompt,adversarial_context_prompt,Are these words synonymous?[ {{Associative Bias}} / {{biased_word_context}} ],Are these words synonymous?[ {{Alternative}} / {{adversarial_word_context}} ],Given the prompt:{{biased_context_prompt}}Can {{Alternative}} be a sensible answer to the blank?,Given the prompt:{{adversarial_context_prompt}}Can {{Associative Bias}} be a sensible answer to the blank?
FPMCK2P37RW2,lemon,edible,brown,perfect,rotten,The lemon in John's package was perfect. The lemon is ____.,The lemon in John's package was rotten. The lemon is ____.,No,No,No,No
FPMCK2P37RW2,railing,high,low,adult,toddler,The adult could reach the railing. The railing is ____.,The toddler could reach the railing. The railing is ____.,No,No,No,No
QHKQ32WVQEGN,mouth,open,closed,teeth,lips,I could see the man's teeth were pressed close together. The mouth is ____.,I could see the man's lips were pressed close together. The mouth is ____.,No,No,No,No
FPMCK2P37RW2,mouth,open,closed,teeth,lips,I could see the man's teeth were pressed close together. The mouth is ____.,I could see the man's lips were pressed close together. The mouth is ____.,No,No,Yes,No
FPMCK2P37RW2,banana,edible,inedible,yellow,black,A yellow banana was in my lunchbox. The banana is ____.,A black banana was in my lunchbox. The banana is ____.,No,No,No,No
9KNVR6X2DWC4,periscope,transparent,clouded,glassy,filmy,When I tried the periscope it was glassy. The periscope is ____.,When I tried the periscope it was filmy. The periscope is ____.,Yes,Yes,No,No
FPMCK2P37RW2,popsicle,edible,nutritious,juice,vitamins,Mary made popsicles out of juice. The popsicle is ____.,Mary made popsicles out of vitamins. The popsicle is ____.,No,No,Yes,Yes
NFN2M74RPJ2Q,sundial,universal,local,everywhere,here,You can find a sundial everywhere. The sundial is ____.,You can find a sundial here. The sundial is ____.,Yes,Yes,Yes,Yes
FPMCK2P37RW2,slime,poisonous,edible,harmful,safe,Eating the slime will be harmful. The slime is ____.,Eating the slime will be safe. The slime is ____.,No,No,No,No
QHKQ32WVQEGN,cocoon,elastic,hard,bounced,broke,Matt hit the cocoon with a broom and it bounced off the side. The cocoon is ____.,Matt hit the cocoon with a broom and it broke off the side. The cocoon is ____.,No,No,Yes,No
C69D7VD39FKM,starfish,edible,inedible,enjoyed,discarded,Susan enjoyed the starfish soup. The starfish is ____.,Susan discarded the starfish soup. The starfish is ____.,Yes,Yes,No,No
QHKQ32WVQEGN,barcode,unique,common,None,All,None of the other packages had this barcode. The barcode is ____.,All of the other packages had this barcode. The barcode is ____.,No,No,No,No
NFN2M74RPJ2Q,gargoyle,extinct,extant,banished,made ,The magic ritual banished gargoyles in the building. The gargoyle is ____.,The magic ritual made  gargoyles in the building. The gargoyle is ____.,No,No,No,No
C69D7VD39FKM,satellite,operational,inoperable,successful,irritated,Janet is successful when she tries to use the internet. The satellite is ____.,Janet is irritated when she tries to use the internet. The satellite is ____.,Yes,Yes,No,No
FPMCK2P37RW2,honeypot,empty,full,light,heavy,Winnie's jar of honey was light. The honeypot is ____.,Winnie's jar of honey was heavy. The honeypot is ____.,No,No,No,No
NFN2M74RPJ2Q,aquarium,large,tiny,sharks,goldfish,Drew's aquarium was for his pet sharks. The aquarium is ____.,Drew's aquarium was for his pet goldfish. The aquarium is ____.,No,No,No,Yes
FPMCK2P37RW2,tennis ball,spherical,rectangular,bounced,slid,Bill threw the tennis ball and it bounced on the ground. The tennis ball is ____.,Bill threw the tennis ball and it slid on the ground. The tennis ball is ____.,No,No,No,No
FPMCK2P37RW2,keg,empty,stuffed,over,tomorrow,The party is over. The keg is ____.,The party is tomorrow. The keg is ____.,No,No,No,No
FPMCK2P37RW2,sock,long,small,oversized,childlike,Bring me the sock that fits my oversized foot. The sock is ____.,Bring me the sock that fits my childlike foot. The sock is ____.,No,No,No,No
NFN2M74RPJ2Q,inhaler,portable,fixed,cartridge,tank,Mike's inhaler requires an air cartridge to work. The inhaler is ____.,Mike's inhaler requires an air tank to work. The inhaler is ____.,No,No,No,No
NFN2M74RPJ2Q,credit card,valid,invalid,accepted,rejected,Joseph's credit card was accepted. The credit card is ____.,Joseph's credit card was rejected. The credit card is ____.,No,No,No,No
NFN2M74RPJ2Q,tablet,portable,stuck,charged ,depleted,My tablet battery was fully charged  when it was time to leave the house. The tablet is ____.,My tablet battery was fully depleted when it was time to leave the house. The tablet is ____.,No,No,No,Yes
FPMCK2P37RW2,prism,transparent,opaque,clearly,nothing,I was able to see clearly through the prism. The prism is ____.,I was able to see nothing through the prism. The prism is ____.,No,No,No,No
NFN2M74RPJ2Q,cardboard,blank,printed,not,intricately,The cardboard was not decorated. The cardboard is ____.,The cardboard was intricately decorated. The cardboard is ____.,No,No,No,No
FPMCK2P37RW2,asparagus,edible,inedible,butter,turpentine,Mike mixed the asparagus with butter. The asparagus is ____.,Mike mixed the asparagus with turpentine. The asparagus is ____.,No,No,No,No
FPMCK2P37RW2,corset,elastic,boned,stretched,snapped,"After eating a huge meal, Alice's corset stretched. The corset is ____.","After eating a huge meal, Alice's corset snapped. The corset is ____.",No,No,No,No
C69D7VD39FKM,headdress,optional,required,may,must,She told me that I may wear the headdress. The headdress is ____.,She told me that I must wear the headdress. The headdress is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,trowel,edible,inedible,candy,tin,Bill made the trowel out of candy. The trowel is ____.,Bill made the trowel out of tin. The trowel is ____.,No,No,Yes,No
FPMCK2P37RW2,tea,cold,scalding,iced,hot,Depending on if you prefer your tea iced might depend on the occasion in which you are drinking it. The tea is ____.,Depending on if you prefer your tea hot might depend on the occasion in which you are drinking it. The tea is ____.,Yes,Yes,Yes,Yes
NFN2M74RPJ2Q,asparagus,edible,inedible,butter,turpentine,Mike mixed the asparagus with butter. The asparagus is ____.,Mike mixed the asparagus with turpentine. The asparagus is ____.,No,No,No,No
C69D7VD39FKM,barrel,long,small,lengthy,short,You will want to put the berries in a lengthy barrel. The barrel is ____.,You will want to put the berries in a short barrel. The barrel is ____.,Yes,Yes,No,No
NFN2M74RPJ2Q,navel,flat,curved,board,ball,Mary saw Tims navel thinking it looked like a board. The navel is ____.,Mary saw Tims navel thinking it looked like a ball. The navel is ____.,No,No,No,No
FPMCK2P37RW2,gargoyle,extinct,extant,banished,made ,The magic ritual banished gargoyles in the building. The gargoyle is ____.,The magic ritual made  gargoyles in the building. The gargoyle is ____.,No,No,No,No
FPMCK2P37RW2,robot,dead,functional,vulnerable,impervious,"The robot sat on the rock, vulnerable to the intense EMP attack leveled against it. The robot is ____.","The robot sat on the rock, impervious to the intense EMP attack leveled against it. The robot is ____.",No,No,No,No
NFN2M74RPJ2Q,zucchini,edible,poisonous,healthy,toxic,The chef prepared a healthy zucchini. The zucchini is ____.,The chef prepared a toxic zucchini. The zucchini is ____.,No,Yes,No,No
