Word	Associative Bias	Alternative	p_Associative Bias_BERT_base	p_Alternative_BERT_base	p_Associative Bias_BERT_large	p_Alternative_BERT_large	p_Associative Bias_RoBERTa_small	p_Alternative_RoBERTa_small	p_Associative Bias_RoBERTa_large	p_Alternative_RoBERTa_large	p_Associative Bias_DistilRoBERTa	p_Alternative_DistilRoBERTa	p_Associative Bias_DistilBERT	p_Alternative_DistilBERT	p_Associative Bias_SqueezeBERT	p_Alternative_SqueezeBERT	p_Associative Bias_MobileBERT	p_Alternative_MobileBERT	p_Associative Bias_Longformer_base	p_Alternative_Longformer_base	p_Associative Bias_Longformer_large	p_Alternative_Longformer_large	p_Associative Bias_ALBERT_base	p_Alternative_ALBERT_base	p_Associative Bias_ALBERT_large	p_Alternative_ALBERT_large	p_Associative Bias_ALBERT_xlarge	p_Alternative_ALBERT_xlarge	p_Associative Bias_ALBERT_xxlarge	p_Alternative_ALBERT_xxlarge	AssociativeBiasSatisfied_BERT_base	AssociativeBiasSatisfied_BERT_large	AssociativeBiasSatisfied_RoBERTa_small	AssociativeBiasSatisfied_RoBERTa_large	AssociativeBiasSatisfied_DistilRoBERTa	AssociativeBiasSatisfied_DistilBERT	AssociativeBiasSatisfied_SqueezeBERT	AssociativeBiasSatisfied_MobileBERT	AssociativeBiasSatisfied_Longformer_base	AssociativeBiasSatisfied_Longformer_large	AssociativeBiasSatisfied_ALBERT_base	AssociativeBiasSatisfied_ALBERT_large	AssociativeBiasSatisfied_ALBERT_xlarge	AssociativeBiasSatisfied_ALBERT_xxlarge
garter	long	little	0.3897959366440773	0.031108091934584	0.7569341454654932	0.0018216154785477	3.409207067761599e-05	2.463176329570161e-08	3.872499405588314e-05	1.427140849941111e-07	7.606434593299127e-06	1.2158443141174755e-07	1.242863666266203	0.0043331245251465	3.2635152339935303	0.0021154242858756	0.0105735918623395	0.0015012927178759	0.0008518524737155	1.1551454237590521e-07	0.0001617166617506	1.1837293367733535e-07	1.9175791976522305e-05	6.970233101810664e-06	5.302058880829463e-06	4.117513796586536e-06	1.005344358873117e-05	8.91774920575017e-07	2.1336734334909124e-05	6.909121452736144e-05	True	True	True	True	True	True	True	True	True	True	True	True	True	False
treasure	ours	theirs	0.1880958559922874	0.1002097851596772	1.59224271774292	0.2610784722492099	2.6160839183830827e-05	1.5604957326331714e-07	7.125875072233612e-05	2.4323048342740068e-26	3.675295658922551e-05	9.419012236833169e-08	0.0993633409962058	0.0419353047618642	0.0796034000813961	0.0157388669322244	0.0263000401901081	0.0154085195390507	1.0205389600059787e-05	1.8614912278280826e-06	2.7283249437459745e-06	6.752677274676055e-26	3.7734864122285217e-05	3.7734864122285217e-05	0.0007701388312852	0.0007701388312852	1.4276531601353781e-05	1.4276531601353781e-05	3.0707897735737795e-05	3.0707897735737795e-05	True	True	True	True	True	True	True	True	True	True	False	False	False	False
net	empty	stuffed	1.6841478645801544	0.0102359445008914	7.697109133005142	0.0106391271401662	0.0001016819510368	2.797666986964486e-07	3.3306514524156234e-05	3.0328723836571384e-26	0.0001218817260451	2.061284032350841e-07	1.1779228225350382	0.0052716397476615	1.8886161968111992	0.0014997360267443	0.5155973602086306	0.002354224488954	0.0006979930276429	3.5058086211847686e-06	1.4970953543524955e-05	2.612036227802869e-26	0.0001940772790476	7.211584147626127e-05	1.1662831411740625e-05	0.0005396612323238	3.673051907071568e-06	1.0894794399973762e-05	0.0016816858988022432	8.000930051821342e-05	True	True	True	True	True	True	True	True	True	True	True	False	False	True
exhaust pipe	long	tiny	0.4679780453443527	0.011583135346882	2.0491980016231537	0.0180920789716765	1.0488859203405813e-05	1.4703855910624952e-07	0.0003206608198524	1.078195577264296e-06	1.1311033887295707e-05	1.023497020469222e-06	1.3331913389265535	0.0099234501249156	13.707526028156279	0.0044791668187826	0.6491580512374641	0.007225752051454	0.0004961902504874	2.982631475134667e-07	0.0011284394531685	6.679476083348845e-07	1.4036506001957605e-05	4.307139818138239e-05	1.7264669693872745e-06	0.0007673548680031	5.335477837320468e-06	8.226191994253895e-05	8.69987957230478e-06	1.1120494036731545e-05	True	True	True	True	True	True	True	True	True	True	False	False	False	False
handlebar	straight	crooked	2.999432384967804	0.0751009560190141	3.768754377961159	0.1597295282408595	1.3748787353051739e-05	6.221457571342626e-07	3.3349820682815334e-05	1.380583621334546e-26	1.0433797825726288e-06	4.60807658697604e-07	0.3834589384496212	0.1051496947184205	0.9849164634943008	0.1397948013618588	0.858071818947792	0.0286828901153057	2.7837901939165032e-05	2.045280389495474e-06	1.4988358998380136e-05	3.524688446870557e-26	0.0001355959852844	1.1554072898434242e-05	7.851657812807389e-06	0.0004417503532749	4.916194029647159e-05	0.0001682278707448	5.506677211997157e-05	1.421676554258511e-06	True	True	True	True	True	True	True	True	True	True	True	False	False	True
lingerie	expensive	inexpensive	0.4666213411837816	0.056044029770419015	3.109709918498993	0.1033685985021293	1.6233916255714576e-05	4.4376422536629455e-07	1.2238336921654993e-05	8.157007251113031e-27	6.610633107584363e-06	2.9089057829168036e-07	0.438559940084815	0.0863080495037138	0.1939562615007162	0.019894701836165003	4.737243056297301	0.5704037845134735	3.713439582497813e-05	2.0993834226601398e-06	1.091330616986852e-05	2.994698766970683e-26	8.927266037517256e-06	8.927266037517256e-06	2.9150061209293202e-05	2.9150061209293202e-05	2.0252349486327148e-05	2.0252349486327148e-05	4.91481855213749e-09	4.91481855213749e-09	True	True	True	True	True	True	True	True	True	True	False	False	False	False
lingerie	expensive	affordable	0.4666213411837816	0.0120754615636542	3.109709918498993	0.2094033639878034	1.6233916255714576e-05	4.4376422536629455e-07	1.2238336921654993e-05	8.157007251113031e-27	6.610633107584363e-06	2.9089057829168036e-07	0.438559940084815	0.0482704024761915	0.1939562615007162	0.0161053438205271	4.737243056297301	0.246919016353786	3.713439582497813e-05	2.0993834226601398e-06	1.091330616986852e-05	2.994698766970683e-26	8.927266037517256e-06	8.927266037517256e-06	2.9150061209293202e-05	2.9150061209293202e-05	2.0252349486327148e-05	2.0252349486327148e-05	4.91481855213749e-09	4.91481855213749e-09	True	True	True	True	True	True	True	True	True	True	False	False	False	False
lingerie	expensive	cheap	0.4666213411837816	0.1304906327277422	3.109709918498993	0.3095383290201425	1.6233916255714576e-05	4.4376422536629455e-07	1.2238336921654993e-05	8.157007251113031e-27	6.610633107584363e-06	2.9089057829168036e-07	0.438559940084815	0.0828688440378755	0.1939562615007162	0.1549778622575104	4.737243056297301	0.7803778164088726	3.713439582497813e-05	2.0993834226601398e-06	1.091330616986852e-05	2.994698766970683e-26	8.927266037517256e-06	8.927266037517256e-06	2.9150061209293202e-05	2.9150061209293202e-05	2.0252349486327148e-05	2.0252349486327148e-05	4.91481855213749e-09	4.91481855213749e-09	True	True	True	True	True	True	True	True	True	True	False	False	False	False
lens	clear	smudged	0.1941443653777241	0.0150549283716827	1.2821289710700512	0.0136556176585145	2.2120808296222087e-05	7.051867534357825e-07	8.008016152416529e-05	6.638958815179766e-26	3.331406901452283e-05	2.5270949777223e-07	0.1137511688284576	0.0206802244065329	0.0347300636349245	0.0009459969078307	1.5047475695610046	0.0054242249461822	1.419140716052425e-05	2.9998645345585832e-06	9.491694896723855e-06	5.433691248531829e-25	0.0007076812380546	1.5808787168225535e-05	3.458826540736481e-05	0.0008866287316777	2.7569760163714808e-05	6.489904649242817e-05	0.002918507561844308	1.3967833467631866e-05	True	True	True	True	True	True	True	True	True	True	True	False	False	True
stair	long	tiny	0.3807594766840338	0.0198868554434739	1.317689660936594	0.1239538192749023	0.0004707236257672	1.2059174103740131e-06	0.0001642638949306	2.102889418154064e-06	1.2794549775207996e-05	9.279236046211279e-07	1.830313727259636	0.0115656323032453	24.0128755569458	0.0062371495005209	0.0707356142811477	0.0067659770138561	0.0007177736733865	1.0034999498031991e-06	0.0008775395144766	3.2945806083262136e-07	2.8716263500427885e-05	1.3958785416434695e-05	9.444065796060387e-06	0.0004481327778194	6.1323106592681126e-06	3.2206972377935024e-05	2.377161365529901e-05	9.896110242380015e-06	True	True	True	True	True	True	True	True	True	True	True	False	False	True
