Word	Associative Bias	Alternative	p_Associative Bias_BERT_base	p_Alternative_BERT_base	p_Associative Bias_BERT_large	p_Alternative_BERT_large	p_Associative Bias_RoBERTa_small	p_Alternative_RoBERTa_small	p_Associative Bias_RoBERTa_large	p_Alternative_RoBERTa_large	p_Associative Bias_DistilRoBERTa	p_Alternative_DistilRoBERTa	p_Associative Bias_DistilBERT	p_Alternative_DistilBERT	p_Associative Bias_SqueezeBERT	p_Alternative_SqueezeBERT	p_Associative Bias_MobileBERT	p_Alternative_MobileBERT	p_Associative Bias_Longformer_base	p_Alternative_Longformer_base	p_Associative Bias_Longformer_large	p_Alternative_Longformer_large	p_Associative Bias_ALBERT_base	p_Alternative_ALBERT_base	p_Associative Bias_ALBERT_large	p_Alternative_ALBERT_large	p_Associative Bias_ALBERT_xlarge	p_Alternative_ALBERT_xlarge	p_Associative Bias_ALBERT_xxlarge	p_Alternative_ALBERT_xxlarge	AssociativeBiasSatisfied_BERT_base	AssociativeBiasSatisfied_BERT_large	AssociativeBiasSatisfied_RoBERTa_small	AssociativeBiasSatisfied_RoBERTa_large	AssociativeBiasSatisfied_DistilRoBERTa	AssociativeBiasSatisfied_DistilBERT	AssociativeBiasSatisfied_SqueezeBERT	AssociativeBiasSatisfied_MobileBERT	AssociativeBiasSatisfied_Longformer_base	AssociativeBiasSatisfied_Longformer_large	AssociativeBiasSatisfied_ALBERT_base	AssociativeBiasSatisfied_ALBERT_large	AssociativeBiasSatisfied_ALBERT_xlarge	AssociativeBiasSatisfied_ALBERT_xxlarge
stair	long	short	0.3807594766840338	3.0124159529805183	1.317689660936594	2.30259969830513	0.0004707236257672	4.4466936799381065e-06	0.0001642638949306	3.2369285918321115e-06	1.2794549775207996e-05	5.052178675413188e-07	1.830313727259636	2.0664544776082043	24.0128755569458	0.9206365793943404	0.0707356142811477	0.8909758180379868	0.0007177736733865	8.851925770159141e-06	0.0008775395144766	7.044930327992915e-06	2.8716263500427885e-05	0.0001677734644545	9.444065796060387e-06	1.4589944896670206e-05	6.1323106592681126e-06	2.3758319755984303e-06	2.377161365529901e-05	4.0911896803663694e-05	False	False	True	True	True	False	True	False	True	True	False	False	True	False
pocket	open	closed	3.370758146047592	5.948121845722199	1.979156024754048	2.155121229588985	9.658536015422214e-06	4.2099173924725626e-05	3.24338344626085e-05	0.0006337293143587	3.3152829814753204e-05	0.0001340160565632	2.099760062992573	5.413240566849709	0.7236730773001909	1.3412004336714745	2.469578571617604	4.259283468127252	5.791788453279878e-05	0.0005705000148736	2.4006465082493368e-05	0.0002768456852209	0.0003710001465151	0.0003540064199114	9.932679176927196e-05	2.3548527394723347e-05	9.41415464694728e-05	6.322993044705072e-05	0.00039605301935807796	0.0010099794053530786	False	False	False	False	False	False	False	False	False	False	True	True	True	False
car door	open	closed	30.28663396835327	22.5704163312912	21.3682621717453	30.83642423152924	9.454440146328123e-05	0.0015203713701339	0.0004646868092095	0.0008830559636407	0.0001267534685212	0.0010070854841615	16.67274981737137	11.967727541923525	34.278517961502075	14.93467092514038	16.942498087882992	34.757518768310554	0.0003237348892071	0.0064983345509972	0.0001501769361311	0.0008223906661442	0.0006717198630212	0.0025282961360062	0.000117613740258	0.00010672629287	0.0004069258920935	3.8714571815035015e-05	8.071592674241401e-05	0.00028540107450680807	True	False	False	False	False	True	True	False	False	False	False	True	True	False
cobra	edible	poisonous	0.2059589838609099	0.3831109032034874	4.4762320816516885	8.804104477167131	1.4986595076038613e-06	1.4986595076038613e-06	6.947183800885146e-27	6.947183800885146e-27	4.6519601504257935e-07	4.6519601504257935e-07	2.306853979825973	4.709975793957709	0.9455937892198564	14.028911292552948	0.22858432494103895	0.4543927032500505	5.4616855038602824e-06	5.4616855038602824e-06	7.7085253579461775e-25	7.7085253579461775e-25	6.60654961848195e-05	6.60654961848195e-05	0.0014155954886518	0.0014155954886518	9.351826406600594e-05	9.351826406600594e-05	3.4829870543262587e-06	3.4829870543262587e-06	False	False	False	False	False	False	False	False	False	False	False	False	False	False
straw	long	short	0.1095453044399619	0.1829926390200853	0.3125310176983475	0.9420894086360933	6.0136153479106724e-05	2.2181467329573934e-06	7.368454930656299e-05	4.0110968768658495e-06	1.2060547760484042e-05	4.816615550851111e-07	0.4606281872838735	0.4653399344533682	1.931634172797203	0.7333922199904919	0.0916704768314957	0.1267288927920162	0.000201112106879	5.975159922400053e-06	0.0001072606210072	3.953232763365122e-06	0.0001321933837061	4.886204578724573e-05	5.434701222384319e-06	7.642822197340138e-06	5.203390287533694e-05	1.3596812209470954e-05	9.398207367894427e-06	8.287291279884812e-05	False	False	True	True	True	False	True	False	True	True	True	False	True	False
vest	long	short	0.3624445060268044	1.388330850750208	0.5206416826695204	0.695178983733058	3.0135132078612518e-05	1.135584248856958e-06	4.346559308032738e-05	2.760280004565629e-06	4.929262686914626e-06	3.034912099408872e-07	0.4643802996724844	0.3698743414133787	7.921247184276581	0.9549368172883989	0.054648530203849	0.2329508773982525	0.0003926576937374	1.8717970817760943e-05	6.505509304588486e-05	7.817649105845703e-06	1.0578781939329927e-05	7.706138944740816e-05	7.942399093963104e-06	8.051291047195264e-05	4.247367613174902e-06	1.290339071147173e-05	1.2602779264625497e-06	2.9171448545639568e-05	False	False	True	True	True	True	True	False	True	True	False	False	False	False
visor	open	closed	2.409946359694004	3.4912191331386566	5.171879380941392	6.275705993175508	5.360258015230102e-06	0.0001032789782584	9.864742622767153e-06	8.672463422954023e-05	1.1950080036626787e-06	5.470332098411746e-05	0.3193254582583904	0.822647288441658	0.1586900209076702	0.699278712272644	2.0105905830860142	6.001129746437073	1.973538701349753e-05	0.0005595667062152	5.070427278042189e-06	6.143745281406153e-05	0.0001383906351293	0.0001929462996486	4.80206665542937e-05	8.56127542192553e-06	7.018696379645917e-06	5.167661853988649e-06	0.0001489391934228479	0.0007492937584174798	False	False	False	False	False	False	False	False	False	False	False	True	True	False
snowboard	portable	portable	0.2512078033760189	0.2512078033760189	7.69091323018074	7.69091323018074	3.9687284569822633e-07	3.9687284569822633e-07	1.1945310849869612e-26	1.1945310849869612e-26	5.868208585724233e-07	5.868208585724233e-07	0.037179299397394	0.037179299397394	0.0113773094199132	0.0113773094199132	0.4900665022432804	0.4900665022432804	3.0415886698165195e-06	3.0415886698165195e-06	6.637934701931838e-26	6.637934701931838e-26	1.4937882042431738e-05	1.4937882042431738e-05	0.0001975292889255	0.0001975292889255	0.0002213078914792	0.0002213078914792	1.92935427634211e-06	1.92935427634211e-06	False	False	False	False	False	False	False	False	False	False	False	False	False	False
suitcase	full	empty	1.1889937333762646	18.65420043468476	7.254928350448607	31.849190592765808	0.0003386112666703	0.0001894919137157	0.0002831265874192	0.0006583894446521	0.0001266405547539	0.0001450956915505	0.0650370435323566	2.838444150984288	4.784237593412398	21.09089642763137	0.7366744335740805	9.51392650604248	0.0001367050913358	0.0002089224381052	2.839409489752143e-05	4.933177706334391e-05	0.0008892503501556	0.0010252255378873	7.573240736746811e-05	0.0007616252787556	0.0003714893864525	0.0014360892237164	1.615092912743421e-05	0.00042920532905554875	False	False	True	False	False	False	False	False	False	False	False	False	False	False
mug	full	empty	2.526120841503144	36.49781346321107	7.447650283575058	68.96525025367737	0.0001563876026011	6.809153205722396e-05	3.0703100151185936e-05	0.0001582421532475	0.0001978810360014	0.0001430059796803	0.0320310093229636	1.6465650871396065	0.9774247184395792	4.2932186275720605	0.20090127363801005	0.7770134136080742	6.12980898040405e-05	8.724187523512228e-05	8.769907111627617e-06	2.487501262748993e-05	0.0004792799245478	0.0001320426576967	5.92473213600897e-05	0.0001734644456519	6.813587560827727e-05	0.0001390165380144	1.2378997382711532e-05	3.295378974144113e-05	False	False	True	False	True	False	False	False	False	False	True	False	False	False
