Word	Associative Bias	Alternative	p_Associative Bias_BERT_base	p_Alternative_BERT_base	p_Associative Bias_BERT_large	p_Alternative_BERT_large	p_Associative Bias_RoBERTa_small	p_Alternative_RoBERTa_small	p_Associative Bias_RoBERTa_large	p_Alternative_RoBERTa_large	p_Associative Bias_DistilRoBERTa	p_Alternative_DistilRoBERTa	p_Associative Bias_DistilBERT	p_Alternative_DistilBERT	p_Associative Bias_SqueezeBERT	p_Alternative_SqueezeBERT	p_Associative Bias_MobileBERT	p_Alternative_MobileBERT	p_Associative Bias_Longformer_base	p_Alternative_Longformer_base	p_Associative Bias_Longformer_large	p_Alternative_Longformer_large	p_Associative Bias_ALBERT_base	p_Alternative_ALBERT_base	p_Associative Bias_ALBERT_large	p_Alternative_ALBERT_large	p_Associative Bias_ALBERT_xlarge	p_Alternative_ALBERT_xlarge	p_Associative Bias_ALBERT_xxlarge	p_Alternative_ALBERT_xxlarge	AssociativeBiasSatisfied_BERT_base	AssociativeBiasSatisfied_BERT_large	AssociativeBiasSatisfied_RoBERTa_small	AssociativeBiasSatisfied_RoBERTa_large	AssociativeBiasSatisfied_DistilRoBERTa	AssociativeBiasSatisfied_DistilBERT	AssociativeBiasSatisfied_SqueezeBERT	AssociativeBiasSatisfied_MobileBERT	AssociativeBiasSatisfied_Longformer_base	AssociativeBiasSatisfied_Longformer_large	AssociativeBiasSatisfied_ALBERT_base	AssociativeBiasSatisfied_ALBERT_large	AssociativeBiasSatisfied_ALBERT_xlarge	AssociativeBiasSatisfied_ALBERT_xxlarge
diamond	precious	fake	2.4227885529398923	0.4199752584099769	4.991619288921356	0.2463265089318156	4.814555865095826e-07	1.3497998452294267e-05	4.778440192458726e-26	2.490555743861477e-05	3.051569219536532e-07	7.669308388358331e-06	0.1297000446356833	0.0899072969332337	0.0198869238374754	0.0011678522241709	0.2301715780049562	0.0935340591240674	1.4765238809388848e-06	4.0613934437772064e-07	1.350642806270311e-24	2.360141193591403e-07	1.1056476267867764e-05	1.1056476267867764e-05	0.0032459840440424	0.0032459840440424	3.2356371093555936e-05	3.2356371093555936e-05	3.979490514893769e-06	3.979490514893769e-06	True	True	False	False	False	True	True	True	True	False	False	False	False	False
loveseat	empty	full	25.71859657764435	1.1079214513301852	1.1164305731654167	0.0349335168721154	3.0573548315260275e-05	1.5795066587998008e-05	1.4097186351591516e-05	1.6383617662540928e-05	2.9588589356421835e-06	2.2931078547117068e-05	0.7063485682010651	0.0349725247360765	0.3574275877326727	0.4146244376897812	0.6885487120598555	0.1455206656828522	6.790588145122456e-05	2.5897406885633245e-05	5.1418798108215916e-06	3.3974991708873863e-06	0.0002412937419649	0.0005151877303433	2.0713491721835453e-05	4.547918877051416e-05	1.535636613425595e-05	7.619408393111371e-06	4.522013057339791e-05	4.344120441146515e-06	True	True	True	False	False	True	False	True	True	True	False	False	True	True
loveseat	empty	occupied	25.71859657764435	0.5252310540527105	1.1164305731654167	0.0024553506591473	3.0573548315260275e-05	1.3477240656811771e-05	1.4097186351591516e-05	1.8526017697695348e-05	2.9588589356421835e-06	4.1366043035395705e-06	0.7063485682010651	0.0252413476118817	0.3574275877326727	0.0080342593719251	0.6885487120598555	0.0193287327419966	6.790588145122456e-05	4.6739131676076795e-05	5.1418798108215916e-06	6.093335969126201e-06	0.0002412937419649	4.670529278882896e-05	2.0713491721835453e-05	4.1972455733230156e-05	1.535636613425595e-05	1.1872343463892321e-05	4.522013057339791e-05	0.00011162850341861487	True	True	True	False	False	True	True	True	True	False	True	False	True	False
tuba	large	small	0.7865628227591515	0.6968620233237743	6.731940805912018	2.4763960391283035	2.846400093403645e-05	4.739306547207889e-06	0.0001566563241794	6.678389468106616e-05	9.621825114436431e-06	6.806362762290519e-06	0.9684638120234011	0.8839253336191177	0.9264946915209292	0.6545235402882099	0.2329529030248522	0.4002675879746675	0.0002990295115523	7.866999567340827e-05	2.9436304771479633e-05	5.9863543810934054e-05	9.425327220924372e-05	0.0002482861646058	1.9747831458971635e-05	1.477175146646914e-05	2.2383790820867944e-06	5.502097444320952e-07	0.0001916007704494405	0.00016025753666326636	True	True	True	True	True	True	True	False	True	False	False	True	True	True
garter	long	short	0.3897959366440773	2.702813781797886	0.7569341454654932	0.6614852230995893	3.409207067761599e-05	6.7448723939378405e-06	3.8724994055883144e-05	7.828477421867319e-07	7.606434593299127e-06	1.436988661396299e-06	1.242863666266203	1.8185433000326159	3.2635152339935303	0.2309514442458748	0.0105735918623395	0.0359073106665164	0.0008518524737155	0.0001631708414606	0.0001617166617506	2.010706623423175e-06	1.9175791976522305e-05	6.812355763941015e-05	5.302058880829463e-06	1.7797576390421455e-05	1.005344358873117e-05	1.3415328226074053e-05	2.1336734334909124e-05	0.000105600167898956	False	True	True	True	True	False	True	False	True	True	False	False	False	False
garter	long	small	0.3897959366440773	1.04233268648386	0.7569341454654932	0.0565703376196324	3.409207067761599e-05	1.606528314823663e-05	3.8724994055883144e-05	1.078715143876252e-05	7.606434593299127e-06	3.0517000482177536e-06	1.242863666266203	0.4547372926026582	3.2635152339935303	1.3846611604094503	0.0105735918623395	0.169820012524724	0.0008518524737155	0.0001131087060457	0.0001617166617506	1.4392480807146054e-05	1.9175791976522305e-05	8.101276307570515e-05	5.302058880829463e-06	9.300861592009824e-06	1.005344358873117e-05	6.016975362399536e-06	2.1336734334909124e-05	0.00014451931065195822	False	True	True	True	True	True	True	False	True	True	False	False	True	False
garter	long	little	0.3897959366440773	0.031108091934583998	0.7569341454654932	0.0018216154785477	3.409207067761599e-05	2.4631763295701606e-08	3.8724994055883144e-05	1.427140849941111e-07	7.606434593299127e-06	1.2158443141174755e-07	1.242863666266203	0.0043331245251465	3.2635152339935303	0.0021154242858756	0.0105735918623395	0.0015012927178759	0.0008518524737155	1.1551454237590521e-07	0.0001617166617506	1.1837293367733535e-07	1.9175791976522305e-05	6.9702331018106625e-06	5.302058880829463e-06	4.117513796586536e-06	1.005344358873117e-05	8.91774920575017e-07	2.1336734334909124e-05	6.909121452736144e-05	True	True	True	True	True	True	True	True	True	True	True	True	True	False
treasure	ours	theirs	0.1880958559922874	0.1002097851596772	1.59224271774292	0.2610784722492099	2.6160839183830827e-05	1.5604957326331714e-07	7.125875072233612e-05	2.4323048342740068e-26	3.675295658922551e-05	9.419012236833169e-08	0.0993633409962058	0.0419353047618642	0.0796034000813961	0.0157388669322244	0.0263000401901081	0.0154085195390507	1.0205389600059787e-05	1.8614912278280826e-06	2.7283249437459745e-06	6.752677274676055e-26	3.7734864122285217e-05	3.7734864122285217e-05	0.0007701388312852	0.0007701388312852	1.4276531601353781e-05	1.4276531601353781e-05	3.0707897735737795e-05	3.0707897735737795e-05	True	True	True	True	True	True	True	True	True	True	False	False	False	False
net	empty	full	1.6841478645801544	0.7181839551776648	7.697109133005142	0.7146482355892658	0.0001016819510368	4.78933372960455e-05	3.3306514524156234e-05	0.0002569226808191	0.0001218817260451	3.700847912568861e-05	1.1779228225350382	0.0804679468274116	1.8886161968111992	0.0700433971360325	0.5155973602086306	0.152138015255332	0.0006979930276429	0.0001109355025619	1.4970953543524955e-05	3.496594729313074e-05	0.0001940772790476	0.0005425649305834	1.1662831411740625e-05	2.0313083837208982e-05	3.6730519070715677e-06	1.4472740339499526e-06	0.0016816858988022432	0.0008770135536906308	True	True	True	False	True	True	True	True	True	False	False	False	True	True
net	empty	stuffed	1.6841478645801544	0.0102359445008914	7.697109133005142	0.0106391271401662	0.0001016819510368	2.797666986964486e-07	3.3306514524156234e-05	3.032872383657139e-26	0.0001218817260451	2.061284032350841e-07	1.1779228225350382	0.0052716397476615	1.8886161968111992	0.0014997360267443	0.5155973602086306	0.002354224488954	0.0006979930276429	3.5058086211847686e-06	1.4970953543524955e-05	2.612036227802869e-26	0.0001940772790476	7.211584147626127e-05	1.1662831411740625e-05	0.0005396612323238	3.6730519070715677e-06	1.0894794399973762e-05	0.0016816858988022432	8.000930051821342e-05	True	True	True	True	True	True	True	True	True	True	True	False	False	True
