User ID,id,Word,Associative Bias,frequentAssociation,makeSense,antonym1,antonym2,antonym3
P4FAJWWTNR9N,999,bulletproof vest,replaced,Yes,Yes,kept,left alone,
FWD4Z73KK6F6,7730,sweatsuit,new,No,Yes,old,used,worn
VNAQPVX4R36A,2783,fire,going,Yes,Yes,doused,extinguished,out
PTQGWRFHYJTJ,2347,doll,evil,Yes,Yes,nice,kind,gentle
FWD4Z73KK6F6,4308,lamb,eating,No,Yes,sleeping,napping,drinking
VNAQPVX4R36A,1454,chest,deep,Yes,Yes,shallow,,
EGZANDYA4C6Q,6927,shorts,long,Yes,No,short,midlength,
FWD4Z73KK6F6,2648,exerciser,human,No,No,animal,,
VNAQPVX4R36A,8448,unicycle,curved,No,Yes,Straight,,
FPMCK2P37RW2,74,aloe,rare,Yes,Yes,common,cheap,normal
VNAQPVX4R36A,424,bathtub,large,Yes,Yes,Small,Tiny,Miniscule
YYQ2E9ZT4FT3,5278,owl,female,Yes,Yes,Male,,
FWD4Z73KK6F6,7,abacus,thick,Yes,Yes,thin,breakable,fragile
YKGFKQKA2WC2,2274,diamond,unique,Yes,Yes,common,ordinary,
FPMCK2P37RW2,7714,sushi,hot,No,Yes,cold,chilled,fresh
FWD4Z73KK6F6,6150,racket,constant,Yes,Yes,inconsistant,,
MEJWNVYTN6GW,974,bug,aggressive,Yes,Yes,friendly,nice,calm
FWD4Z73KK6F6,6579,sandcastle,operational,No,No,collapsed,decorative,flimsy
FPMCK2P37RW2,5775,plaster cast,visible,Yes,Yes,covered,hidden,disguised
4YNXDR4CKEZM,7044,ski lift,operational,Yes,Yes,broken,inoperable,
FPMCK2P37RW2,6435,rolling pin,open,No,No,,,
R2FHGF3QXQ6M,5986,powder,acidic,No,Yes,basic,,
7TVRDX6P4GTP,7159,smoke alarm,working,Yes,Yes,broken,faulty,defective
MEJWNVYTN6GW,6768,seaplane,flying,Yes,Yes,Landed,Crashing,Landing
7TVRDX6P4GTP,4324,landmine,empty,No,No,full,live,
FWD4Z73KK6F6,5363,pantyhose,smooth,Yes,Yes,scratchy,rugged,jagged
MEJWNVYTN6GW,1581,cigar,smoking,Yes,Yes,unlit,,
