Word	generic_outcome	exception_outcome	p_generic_outcome	p_exception_outcome	p_joint_outcome	id
trashcan	empty	full	79.49301600456238	3.706266358494759	294.622290952995	8259
trashcan	empty	used	79.49301600456238	0.004510275539360009	0.35853540563533143	8259
trashcan	empty	overflowing	79.49301600456238	2.4798578124318727e-05	0.0019713137677268592	8259
clock	ticking	stopped	56.54849410057068	0.5148977972567081	29.1166950505678	1640
suitcase	empty	full	52.371305227279656	0.5124870222061872	26.83961426497988	7689
screen	blank	lively	45.870524644851685	0.0014020423805050086	0.06431241956808152	6741
screen	blank	colourful	45.870524644851685	0.00030312301078083687	0.01390441153644402	6741
screen	blank	flashy	45.870524644851685	0.00018671501038625138	0.008564715485486282	6741
towel rack	empty	full	39.08245861530304	3.431689739227295	134.11887221391083	8210
towel rack	empty	loaded	39.08245861530304	0.14048172160983086	5.490371071022738	8210
towel rack	empty	filled	39.08245861530304	0.09881644509732723	3.8619896260276567	8210
pomegranate	edible	stale	37.866035103797905	0.03330881299916655	1.2612726822922804	5912
pomegranate	edible	rotten	37.866035103797905	0.0206262557185255	0.7810345230975988	5912
pomegranate	edible	old	37.866035103797905	0.013133767060935496	0.4973236845744881	5912
shutter	closed	open	35.57994961738587	15.764644742012026	560.905265656775	6977
shutter	closed	ajar	35.57994961738587	0.00434324101661332	0.15453229654726572	6977
container	empty	full	32.360675930976875	1.0769165121018889	34.84974625284716	1872
container	empty	packed	32.360675930976875	0.052897725254297256	1.7118061444401649	1872
container	empty	overflowing	32.360675930976875	0.004813860141439363	0.15577976801416574	1872
gate	closed	open	30.396264791488647	6.399458646774293	194.51963954953303	3178
gate	closed	ajar	30.396264791488647	0.00407537845603656	0.12387628267521546	3178
space shuttle	destroyed	ready	28.82986068725586	1.0616508312523365	30.60724556351424	7324
space shuttle	destroyed	safe	28.82986068725586	0.1578834024257958	4.5517564967656465	7324
space shuttle	destroyed	operational	28.82986068725586	0.13401914620772004	3.863753314593543	7324
flashlight	on	off	28.00377905368805	6.333982944488525	177.37545890728512	2895
flashlight	on	dead	28.00377905368805	0.8225318044424057	23.033998916236477	2895
flashlight	on	broken	28.00377905368805	0.1795460470020771	5.027967830209256	2895
carousel	closed	open	24.925188720226288	6.253949552774428	155.88087284967742	1250
carousel	closed	filled	24.925188720226288	0.06409240304492414	1.5975152414275402	1250
carousel	closed	busy	24.925188720226288	0.008598122803959996	0.2143098335283841	1250
skin	smooth	rough	24.869875609874725	1.0304885916411877	25.62812309151133	7061
skin	smooth	uneven	24.869875609874725	0.06606664974242449	1.6430693610552591	7061
skin	smooth	prickly	24.869875609874725	0.0004991984951630002	0.012415004479340465	7061
ski lift	closed	open	24.526822566986084	7.656354457139969	187.7860472802251	7047
ski lift	closed	operating	24.526822566986084	0.04030285053886473	0.9885008641104948	7047
ski lift	closed	running	24.526822566986084	0.01883082295535133	0.4618602534162306	7047
shopping basket	empty	full	24.323441088199612	1.3179753907024858	32.05769677144878	6906
shopping basket	empty	filled	24.323441088199612	0.30611129477620125	7.445680044921437	6906
shopping basket	empty	stuffed	24.323441088199612	0.043067149817943566	1.047541281433417	6906
pistachio	edible	rotten	23.92999529838562	0.06004186579957605	1.4368015662901552	5739
pistachio	edible	uneditable 	23.92999529838562	0.011974653898505494	0.28655341149103153	5739
pistachio	edible	spoiled	23.92999529838562	0.007878179167164491	0.18852479043008583	5739
stool	empty	full	21.245178580284122	0.9037315845489502	19.199938902385586	7584
stool	empty	used	21.245178580284122	0.6074800621718168	12.90602240480235	7584
stool	empty	covered	21.245178580284122	0.4073588643223047	8.654411818789095	7584
roller coaster	closed	open	19.294698536396027	3.5552967339754105	68.59837868948892	6429
weed	poisonous	non-toxic	19.178794324398037	0.0036589979572454467	0.07017516925540299	8754
coffin	empty	occupied	18.299344182014465	0.08796501788310708	1.609702138220034	1790
veil	closed	open	17.62685775756836	3.4081574529409413	60.07510663838645	8491
slot	empty	full	16.94791167974472	0.3935045097023249	6.669079676016252	7122
slot	empty	overflowing	16.94791167974472	0.03481090534478426	0.5899721492753571	7122
slot	empty	packed	16.94791167974472	0.01583854464115575	0.2684302557140017	7122
headlight	on	inoperable	15.825235843658447	0.0004743093995784875	0.007506058111193597	3685
headlight	on	unusable	15.825235843658447	0.0004743093995784875	0.007506058111193597	3685
teepee	empty	full	15.272949635982512	2.296714298427105	35.07760180811808	7922
teepee	empty	occupied	15.272949635982512	0.4993471316993237	7.626503593316097	7922
teepee	empty	crowded	15.272949635982512	0.08256678702309728	1.261038379808659	7922
mussel	edible	inedible	14.744839072227476	0.0019540124412742443	0.028811598991719076	5048
mussel	edible	indigestible	14.744839072227476	0.0019540124412742443	0.028811598991719076	5048
mussel	edible	unpalatable	14.744839072227476	0.0019540124412742443	0.028811598991719076	5048
honey	sweet	spicy	14.491377770900725	0.07580522797070444	1.098522195532728	3786
honey	sweet	sour	14.491377770900725	0.037445369525812566	0.5426349955695237	3786
honey	sweet	spoiled	14.491377770900725	0.012388944742269814	0.1795328784430462	3786
gargoyle	female	male	14.364683628082275	10.466328263282776	150.34549424971289	3151
wine cooler	open	closed	13.898472487926485	3.427838906645775	47.6417247370603	8870
wine cooler	open	sealed	13.898472487926485	0.12175161391496656	1.69216145635781	8870
wine cooler	open	shut	13.898472487926485	0.10435327421873808	1.4503511107541793	8870
owl	female	male	13.888223469257355	7.705024629831313	107.0091038952292	5278
eye	open	shut	13.185021281242369	0.6659939419478178	8.781144297760472	2664
wheelchair	available	occupied	12.911802530288696	0.15135392313823104	1.9542519677453325	8792
donkey	dead	alive	12.101701647043226	0.6823023781180382	8.257019813052572	2366
donkey	dead	running	12.101701647043226	0.05176396225579083	0.6264320272883873	2366
donkey	dead	kicking	12.101701647043226	0.003020663643837907	0.03655517019379679	2366
soup	cold	hot	11.802538484334946	10.757848620414734	126.9699223510945	7307
soup	cold	warm	11.802538484334946	1.4945803210139277	17.63984175669656	7307
soup	cold	fresh	11.802538484334946	0.2344057429581881	2.7665828022131405	7307
vending machine	open	shut	11.490733176469805	0.6469388958066702	7.433802233194447	8497
vending machine	open	close	11.490733176469805	0.1429388765245676	1.6424724906881698	8497
plastic film	thin	thick	11.486905813217163	1.1102587915956974	12.75343816735608	5792
plastic film	thin	fat	11.486905813217163	0.02709442924242467	0.31123115677060903	5792
plastic film	thin	substantial	11.486905813217163	0.002887531991291325	0.033168808016614856	5792
spider	male	female	11.312618106603622	11.110880225896835	125.69314482378469	7371
cheesecake	delicious	disgusting	11.080900579690931	0.2421968616545201	2.683759344706896	1422
cheesecake	delicious	terrible	11.080900579690931	0.040440334123559296	0.4481153218326432	1422
cheesecake	delicious	inedible	11.080900579690931	0.007491157157346606	0.08300876768739789	1422
medal	gold	silver	10.64569130539894	8.189867436885834	87.18680056522541	4799
medal	gold	bronze	10.64569130539894	4.861478880047797	51.75380344470541	4799
medal	gold	wooden	10.64569130539894	0.32316558063030243	3.4403210119202106	4799
music box	empty	full	10.571977496147156	0.9180360473692416	9.705456433439506	5040
music box	empty	occupied	10.571977496147156	0.2346171298995614	2.4803670175087973	5040
music box	empty	filled	10.571977496147156	0.09650980355218053	1.0202994713112354	5040
milk	cold	hot	10.117663443088533	2.537502534687519	25.673596631952403	4835
milk	cold	warm	10.117663443088533	2.155173569917679	21.80532084186671	4835
cash machine	open	offline	9.887515753507612	0.0010076155376737006	0.009962814502227758	1267
toad	female	masculine	9.595237672328947	0.006974046118557453	0.06691763004534194	8066
toad	female	virile	9.595237672328947	0.006846457836218178	0.0656933901520924	8066
coffee	hot	lukewarm	9.492823481559752	0.00015177424756984692	0.001440766141227106	1738
toaster	empty	full	9.470752626657486	1.229608617722988	11.645319046060669	8074
music box	open	closed	9.192901849746702	7.568216323852539	69.5738698428272	5041
dog	dead	alive	9.010810405015944	0.9329182095825672	8.40634910993544	2330
dog	dead	barking	9.010810405015944	0.3925247583538294	3.5369661768010547	2330
dog	dead	breathing	9.010810405015944	0.16267216997221112	1.4658080817921222	2330
train set	complete	incomplete	8.867022395133972	2.921309135854244	25.90331353072905	8242
train set	complete	unfinished	8.867022395133972	0.09106596116907896	0.8074839171206238	8242
pizza	good	bad	8.72318297624588	0.6221030838787556	5.426719030761223	5750
pizza	good	nasty	8.72318297624588	0.01694971724646166	0.14785548493651554	5750
pizza	good	unacceptable	8.72318297624588	0.0011676135727611836	0.010185306840743986	5750
turf	grass	sand	8.687220513820646	0.18802426056936386	1.6334082135141361	8400
turf	grass	dirt	8.687220513820646	0.07169654127210379	0.6228436641090086	8400
turf	grass	mud	8.687220513820646	0.005041828990215436	0.043799480230975164	8400
