User ID,Word,generic_outcome,exception_outcome,p_generic_outcome,p_exception_outcome,p_joint_outcome,id,nl_sentence,generic_context,exception_context,feedback,nl_sentence_masked
TRZKH4HK4646,fire,going,doused,2.2512754425406456,0.0010677928912627976,0.0024038959138194104,2783,George put [wood/water] on the fire.,wood,water,,George put [MASK] on the fire.
HKXM7AJCMHJQ,contact lens,adjustable,fixed,4.419761151075363,4.197371751070024,18.55138060200046,1868,Mark [moved/placed] the contact lens.,moved,placed,,Mark [MASK] the contact lens.
9KNVR6X2DWC4,glue,dry,runny,2.759079448878765,0.003013632522197441,0.008314851558467638,3289,The art teacher gave her students [old/new] glue.,old,new,,The art teacher gave her students [MASK] glue.
FWD4Z73KK6F6,bedpan,open,closed,2.6105448603630066,1.8689105287194248,4.8788747752268025,494,The nurse had left the bedridden patient's bedpan [ajar/shut].,ajar,shut,,The nurse had left the bedridden patient's bedpan [MASK].
FWD4Z73KK6F6,fruitcake,edible,poisonous,3.0191797763109207,0.21588208619505167,0.651786828707911,3086,The chef determined that the expired fruitcake was [safe/toxic].,safe,toxic,,The chef determined that the expired fruitcake was [MASK].
PTQGWRFHYJTJ,mongoose,dead,alive,2.7677280828356743,0.3046332160010934,0.8431419068907721,4914,The mongoose is [lifeless/jumping].,lifeless,jumping,,The mongoose is [MASK].
FWD4Z73KK6F6,cobra,dead,alive,7.464524358510972,0.8857728913426399,6.6118733235358285,1709,The mom told the boy that the cobra was [decaying/moving] on the road.,decaying,moving,,The mom told the boy that the cobra was [MASK] on the road.
FWD4Z73KK6F6,counter,closed,operational,3.3224619925022125,0.032909834408201284,0.10934167400079033,2006,Mike looked at the business hours and was [disappointed/greeted].,disappointed,greeted,,Mike looked at the business hours and was [MASK].
FWD4Z73KK6F6,radio,working,inoperable,2.8144601732492447,0.0002510187869120273,0.0007064823785012395,6163,Mike [saved/broke] the radio.,saved,broke,,Mike [MASK] the radio.
FWD4Z73KK6F6,slot,empty,packed,16.94791167974472,0.01583854464115575,0.2684302557140017,7122,The dealer saw that the one slot was [vacant/full].,vacant,full,,The dealer saw that the one slot was [MASK].
FWD4Z73KK6F6,bookshelf,empty,overflowing,8.682960271835327,0.0013355218470678665,0.01159628314025842,731,The man looked at the [barren/full] bookshelf at the libary.,barren,full,,The man looked at the [MASK] bookshelf at the libary.
4YNXDR4CKEZM,waterwheel,functional,inoperable,2.214350365102291,0.001954260551428888,0.004327417565561563,8696,The waterwheel's axle has been [lubricated/snapped].,lubricated,snapped,,The waterwheel's axle has been [MASK].
FWD4Z73KK6F6,torso,naked,clothed,4.448029771447182,0.09880739962682128,0.4394982551793802,8165,Mary walked around in front of everyone completly [nude/covered].,nude,covered,,Mary walked around in front of everyone completly [MASK].
FWD4Z73KK6F6,mustard,sweet,tangy,6.850171834230423,0.01551416062284261,0.10627466613032316,5062,The mother said that the mustard was too [sugarly/spicy].,sugarly,spicy,,The mother said that the mustard was too [MASK].
FWD4Z73KK6F6,leg,solid,hollow,2.546676993370056,0.15856772661209104,0.40382078125400506,4409,During the earthquake the table leg was very [sturdy/wobbly].,sturdy,wobbly,,During the earthquake the table leg was very [MASK].
FWD4Z73KK6F6,pantyhose,smooth,jagged,2.7914619073271747,0.004545117553789169,0.012687522515726536,5363,Mary's pantyhose felt [silky/irritating] against her skin.,silky,irritating,,Mary's pantyhose felt [MASK] against her skin.
FWD4Z73KK6F6,poodle,dead,alive,2.6885075494647026,0.28830040246248245,0.7750978085340963,5917,The poodle was [decaying/jumping] on the sidewalk.,decaying,jumping,,The poodle was [MASK] on the sidewalk.
FWD4Z73KK6F6,moth,migratory,embedded,2.9599372297525406,0.0008071542652032804,0.002389125959728745,4946,The boy saw the moth [flying/hiding].,flying,hiding,,The boy saw the moth [MASK].
3MMFR6RXMZM2,gel,smooth,lobby,3.3610451966524124,7.050351769066765e-06,2.369655094813169e-05,3218,"When filtered through a sieve, the gel left behind [moisture/lumps].",moisture,lumps,,"When filtered through a sieve, the gel left behind [MASK]."
FWD4Z73KK6F6,medal,gold,bronze,10.64569130539894,4.861478880047797,51.75380344470541,4799,The color of the boy's medal was [yellow/brown].,yellow,brown,,The color of the boy's medal was [MASK].
FWD4Z73KK6F6,pan,hot,freezing,3.441743925213814,0.021548506629187614,0.07416444178843606,5324,Mike [burned/cooled] his hand on the pan.,burned,cooled,,Mike [MASK] his hand on the pan.
FWD4Z73KK6F6,pizza,good,unacceptable,8.72318297624588,0.0011676135727611836,0.010185306840743986,5750,The boy exclaimed that the pizza tasted [delicious/crappy].,delicious,crappy,,The boy exclaimed that the pizza tasted [MASK].
FWD4Z73KK6F6,cobra,dead,living,7.464524358510972,0.012810046609956771,0.09562090495368322,1709,The boy pointed to the cobra [rotting/slithering] on the road.,rotting,slithering,,The boy pointed to the cobra [MASK] on the road.
9KNVR6X2DWC4,firewood,clean,dirty,2.6847509667277336,0.1202326500788331,0.3227947235313845,2828,Mike noticed the [smooth/grimy] feel of the firewood.,smooth,grimy,,Mike noticed the [MASK] feel of the firewood.
FWD4Z73KK6F6,umbrella,closed,stretched,4.978718608617784,0.009799761028261857,0.04879025259141466,8442,The umbrella was left on the ground [unopen/ajar].,unopen,ajar,,The umbrella was left on the ground [MASK].
QHKQ32WVQEGN,ice cube,frozen,watery,2.9261773452162743,0.005488626266014761,0.016060693835971387,3957,The ice cubes were [solid/melted].,solid,melted,,The ice cubes were [MASK].
FWD4Z73KK6F6,ice cube,frozen,melted,2.9261773452162743,1.14734610542655,3.3573381808212943,3957,The ice cub in the freezer was [solid/waterly].,solid,waterly,,The ice cub in the freezer was [MASK].
FWD4Z73KK6F6,dresser,open,shut,5.669589713215827,0.2308274852111936,1.3086971356808617,2453,Paul left the dresser [ajar/closed] before leaving the room.,ajar,closed,,Paul left the dresser [MASK] before leaving the room.
QHKQ32WVQEGN,calf,dead,living,3.1211221590638165,0.005567780681303702,0.01737772366122442,1104,The calf on the farm was [butchered/groomed].,butchered,groomed,,The calf on the farm was [MASK].
FWD4Z73KK6F6,donkey,dead,kicking,12.101701647043226,0.003020663643837907,0.03655517019379679,2366,The boy saw the donkey [rotting/punting] against the fence.,rotting,punting,,The boy saw the donkey [MASK] against the fence.
TRZKH4HK4646,plaster cast,intact,damaged,2.266774326562881,0.801583006978035,1.8170077808268843,5774,Jim [felt/hit] the plaster cast.,felt,hit,,Jim [MASK] the plaster cast.
FWD4Z73KK6F6,plastic film,thin,thick,11.486905813217163,1.1102587915956974,12.75343816735608,5792,The boy covered the soup with a [skinny/flimsy] piece of plastic film.,skinny,flimsy,,The boy covered the soup with a [MASK] piece of plastic film.
3MMFR6RXMZM2,pistachio,edible,inedible,23.92999529838562,0.011974653898505494,0.28655341149103153,5739,The pistachio is central to the [meal/plot].,meal,plot,"Was ""uneditable"" meant to be ""inedible""?",The pistachio is central to the [MASK].
FWD4Z73KK6F6,sand,fine,big,3.7406910210847855,0.011228826770093292,0.04200357147620445,6556,The particles of sand looked [tiny/huge] through the microscope.,tiny,huge,,The particles of sand looked [MASK] through the microscope.
9KNVR6X2DWC4,soup,cold,warm,11.802538484334946,1.4945803210139277,17.63984175669656,7307,The soup Amy was given was [leftover/fresh].,leftover,fresh,,The soup Amy was given was [MASK].
FWD4Z73KK6F6,plastic film,thin,fat,11.486905813217163,0.02709442924242467,0.31123115677060903,5792,The man protected his furniture with a [skinny/thick] piece of plastic film.,skinny,thick,,The man protected his furniture with a [MASK] piece of plastic film.
FWD4Z73KK6F6,globe,round,pointed,2.609635517001152,0.08340438944287598,0.21765505696392504,3276,The globe had a [spherical/triangular] shape.,spherical,triangular,,The globe had a [MASK] shape.
FWD4Z73KK6F6,sling,closed,used,2.9175790026783943,1.2496973387897017,3.646090715355901,7115,The shopkeeper showed the customer the [shut/secondhand] sling.,shut,secondhand,,The shopkeeper showed the customer the [MASK] sling.
