MaskedLM	pass_experiment_one_maskedlm	pass_experiment_one_prime_maskedlm	pass_experiment_two_prime_maskedlm	pass_experiment_two_maskedlm	pass_experiment_three_maskedlm	pass_experiment_four_maskedlm	pass_experiment_three_prime_maskedlm	pass_experiment_four_prime_maskedlm
ALBERT	0.608433734939759	0.5843373493975904	0.25903614457831325	0.2248995983935743	0.25301204819277107	0.25903614457831325	0.24096385542168675	0.25903614457831325
BERT	0.9337349397590361	0.9437751004016064	0.178714859437751	0.1566265060240964	0.5220883534136547	0.5140562248995983	0.5401606425702812	0.5140562248995983
DistilBERT	0.9216867469879518	0.9337349397590361	0.1706827309236948	0.1746987951807229	0.5160642570281124	0.5060240963855421	0.5281124497991968	0.5060240963855421
ELECTRA	0.4497991967871486	0.5943775100401606	0.39558232931726905	0.5502008032128514	0.4879518072289157	0.46184738955823296	0.4738955823293173	0.46184738955823296
FunnelTransformer	0.5682730923694779	0.5	0.5	0.4457831325301205	0.4939759036144578	0.46184738955823296	0.4819277108433735	0.46184738955823296
Longformer	0.6305220883534136	0.6385542168674698	0.23694779116465864	0.22690763052208834	0.25903614457831325	0.3132530120481928	0.26305220883534136	0.3132530120481928
MobileBERT	0.8875502008032129	0.9136546184738956	0.1827309236947791	0.15060240963855423	0.5080321285140562	0.5140562248995983	0.5200803212851406	0.5140562248995983
RoBERTa	0.6224899598393574	0.6365461847389559	0.25903614457831325	0.24899598393574296	0.24899598393574296	0.3172690763052209	0.25903614457831325	0.3172690763052209
SqueezeBERT	0.927710843373494	0.9377510040160643	0.19477911646586346	0.20883534136546184	0.5140562248995983	0.5281124497991968	0.5261044176706827	0.5281124497991968
XLMRoBERTa	0.28112449799196787	0.25903614457831325	0.20883534136546184	0.1746987951807229	0.13654618473895583	0.16265060240963855	0.14056224899598393	0.16265060240963855
