User ID,Word,generic,Step1Input1,Step1Input2,Step1Input3,SpecialPair,Context,feedback/questions
EGZANDYA4C6Q,skirt,short,long,full,mid-length,[short/long],The skirt is [short/long],
GXYANFVKRRMZ,ladle,closed,Open,Unlocked,continuing ,[closed/open],The business is [closed/open] as of now due to the covid emergency. ,
4FRFD66TK6XE,scanner,dead,Working,Running,Operational,[broken/fixed],The scanner is [broken/fixed].,"I wondered if the pair of words for context needed to be adjectives. For example, with my scanner sentence, would something like ""When the scanner is plugged in, it [does/doesn't] work."" be acceptable? I imagine the AI is trying to learn words, so the more descriptive, the better and [does/doesn't] isn't that helpful. "
WYWGJAYCCA6D,dough,hard,soft,easy,tender,soft/hard,The dough is soft.,
HKXM7AJCMHJQ,plunger,closed,open,unlocked,ajar,shut/ajar.,The plunger is shut/ajar,
A969KQ7EMVW3,sewing machine,functional,malfunctioning,useless,inoperable,[functional/inoperable],The sewing machine is [functional/inoperable].,
R2FHGF3QXQ6M,drill,manual,powered,electric,automatic,[antiquated/modern],The drill is [antiquated/modern],
FXEXXAC2PT3N,cow,happy,upset,angry,distraught, [starving/satisfied] ,The cow was [starving/satisfied] because he wasn't fed enough food.,
DEDRKKX9JTVW,deer,present,absent,gone,away,[up/off],The deer just walked [up/off].,
TC9FHXCXZWRA,stake,empty,full,occupied,,[busy/slow],The stake is busy.,I know the sentence made mo sense but the original sentence made no sense to me...
YYQ2E9ZT4FT3,faucet,functional,broken,inoperable,unusable,[clogged/flowing],The faucet is [clogged/flowing].,
WW4J96KNQAGG,gum,edible,inedible,unsuitable,unpalatable,[disgusting/tasty],The gum is [disgusting/tasty],
QERTQJJW7XPM,tuba,cocked,Straightened,"
Evened",Flattened,usable/useless,The tuba is cocked/straightened.   The tuba can be usable/useless for diving.,
PTQGWRFHYJTJ,brace,open,closed,shut,unopened,[use/disuse],The brace is in [use/disuse].,"I found it pretty difficult to create one-word-only synonyms and position pairs. (Just FYI, not a complaint!) Also, it was a bit difficult to understand what ""The brace is open"" even means without more context. So I'm not sure if our answers need to be 100% correct or not, or if it's okay for them to be a bit of a stretch."
V6ZR7KQXC7EP,rolling pin,loaded,unloaded,empty,bare,[clean/dirty],The rolling pin is [clean/dirty].,
MEJWNVYTN6GW,odometer,red,Green,Blue,Black,[blood/leaves],The odometer is covered in [blood/leaves].,"It's rather difficult to make something like an odometer being different colors register for this format. An odometer being a different color doesn't really contradict anything-- other than it just being a separate color. In the berry example, you could easily do ""That berry is a [strawberry/blueberry]"" to indicate contradictions. For an odometer, there really isn't an easy go to, and I had to provide a very strange workaround. If there's something I'm missing in the process, please let me know! "
FV7RV6QXWKAW,eyepiece,black,white,light,bright,[black/white],The eyepiece is [black/white],
XH7FWCGRRXDJ,board,black,white,orange,yellow,[black/white],The board was [black/white].,
W9XTVGDF6CV4,chimney,closed,Open,Unenclosed,Unshut,[Unrestricted/restricted],Smoke came out of the chimney [restricted/unrestricted],
FPMCK2P37RW2,golf cart,open,locked,occupied,inaccessible,[available/occupied],The golf cart is currently [available/occupied].,
FGPEPKCMK3KM,artichoke,rare,common,normal,ordinary,[familiar/uncommon],The artichoke is [familiar/uncommon].,
4TR6J693M9XK,tumbleweed,edible,Inedible ,Unpalatable,Harmful,[gross/tasty],The tumbleweed is [gross/tasty].,
6XFJ6ADHNKEZ,rattlesnake,common,Rare,uncommon,distinct,[often/rarely],This particular snake is [often/rarely] seen.,
YKGFKQKA2WC2,bush,green,purple,pink,white,[colorless/colored],The apple is [colorless/colored],
P4FAJWWTNR9N,handcuff,open,locked,closed,shut,[free/barred],The criminal was impatiently waiting to see if the handcuffs would make him [free/barred].,
XJKGQQWFXKTX,mannequin,there,here,nowhere,gone,see/imagine,The girl was was able to get a see/imagine the mannequin.,I used gone as my antonym for step 3 :)
HWDQZR3ZTFRN,ladle,used,The ladle is unused,The ladle is new,,[dirty/clean],The label is [dirty/clean].,
Q6PJWFGEWTGQ,wreath,large,small,tiny,miniscule,heavy/light,The wreath is heavy/light,
R3CDKNC3PH6K,microscope,adjustable,fixed,static,immovable,[adjustable/fixed],The microscope is [adjustable/fixed],
J7YPEAJHPTM7,sleeping bag,opened,The sleeping bag is closed.,The sleeping bag is shut.,The sleeping bag is sealed.,[zipped/unzipped],The sleeping bag is [zipped/unzipped].,
RGDCWYTV6K79,rake,electrified,lifeless,,,[dangerous/safe],The lightening struck the rake and then it was [dangerous/safe] to touch. ,"This one was fairly difficult because there isn't a really good antonym for electrified.  I understand the task, so if this one wasn't up to par, I apologize. "
NFN2M74RPJ2Q,ostrich,female,male,,,produce/fertilize,The Ostrich could produce/fertilize an egg,Bit of a stretch coming up with the answer to step 3 - my only other thought was 'The ostrich could/couldn't lay eggs'
2ZF2RAMFQQ3M,sewage,high,low,short,squat,[short/tall],The sewage is [short/tall.,This is interesting! :)
K94W3ATCZX2V,screen,green,red,black,white,[grass/milk],The glare from the screen resembles [grass/milk].,Thanks for the opportunity.
AZC3WE92JE2T,napkin,wet,dry,parched,moistureless,[wash/dry],She used the napkin to [wash/dry] her hands.,
WHHM2A4MZ24Z,viewfinder,closed,open,available,free,[locked/unlocked],The viewfinder is [locked/unlocked].,I'd love more examples to help better understand the instructions - it took me some time to parse.
XXKCFJGVJDTX,handprint,red,black,white,invisible,[clear/crimson],The handprint is [clear/crimson].,
ZX4T6TX7KH4F,coffee,ready,unfinished,unprepared,unavailable,[drinkable/undrinkable],The coffee is [drinkable/undrinkable].,
DZ76R6HPTQH4,celery,removed,added,kept,retained,[enjoyed/discarded],The celery is [enjoyed/discarded],
TRZKH4HK4646,donut,white,black,green,brown,[white/green],It was easy to find the donut in the grass because it was [white/green].,
NZ94FAVGWEPR,hearing aid,used,discarded,misused,deactivated,[inaudible/inaudible],The man could not tell if his hearing aid was working it was [inaudible/loud].,
4KDNMYPMNZXC,school bus,available,unavailable,inaccessible,unattainable,[unattainable/accessible],The school bus is [unattainable/accessible].,
DMDJ3QQK6JN9,fungus,unique,common,normal,ordinary,[rarely/abundantly],The fungus occurs [rarely/abundantly] in the environment.,
X6P6DQRXD62A,station wagon,used,new,unused,pristine,new/old,The car is [new/old].,
QRFN2MNYRJMF,wallet,open,closed,shut,put away,[empty/full],The wallet is [empty/full],
YKFXDFCC3WM2,vest,green,white,uncolored,plain,dyed/undyed,The vest is [dyed/undyed],
7R2NKCJQNXPP,cigar,red,Black,White,Pasty,Red/white,The cigar was the color of a fresh crisp snowfall. ,
C69D7VD39FKM,smoothie,edible,spoiled,moldy,curdled,edible/spoiled,The smoothie is edible./The smoothie is spoiled. ,
7YCCTVFCCENT,breakfast,eaten,uneaten,unconsumed,old,"[enjoyed, hated]",The man [enjoyed/hated] his breakfast.,
