User ID	Word	generic	Step1Input1	Step1Input2	Step1Input3	SpecialPair	Context	feedback/questions	step1input1quality	step1input2quality	step1input3quality	pairquality	contextquality
EGZANDYA4C6Q	skirt	short	long	full	mid-length	[short/long]	The skirt is [short/long]		yes	yes	yes	mistaken with outcome	mistaken with outcome
GXYANFVKRRMZ	ladle	closed	Open	Unlocked	continuing 	[closed/open]	The business is [closed/open] as of now due to the covid emergency. 		yes, but nonsense prompt	yes, but nonsense prompt	yes, but nonsense prompt	yes, but nonsense prompt	no
4FRFD66TK6XE	scanner	dead	Working	Running	Operational	[broken/fixed]	The scanner is [broken/fixed].	"I wondered if the pair of words for context needed to be adjectives. For example, with my scanner sentence, would something like ""When the scanner is plugged in, it [does/doesn't] work."" be acceptable? I imagine the AI is trying to learn words, so the more descriptive, the better and [does/doesn't] isn't that helpful. "	yes	yes	yes	yes	yes
WYWGJAYCCA6D	dough	hard	soft	easy	tender	soft/hard	The dough is soft.		yes	yes	yes	mistaken with outcome	mistaken with outcome, bad
HKXM7AJCMHJQ	plunger	closed	open	unlocked	ajar	shut/ajar.	The plunger is shut/ajar		yes, but nonsense prompt	yes, but nonsense prompt	yes, but nonsense prompt	mistaken with outcome, maybe	mistaken with outcome, maybe
A969KQ7EMVW3	sewing machine	functional	malfunctioning	useless	inoperable	[functional/inoperable]	The sewing machine is [functional/inoperable].		yes	yes	yes	mistaken with outcome	mistaken with outcome
R2FHGF3QXQ6M	drill	manual	powered	electric	automatic	[antiquated/modern]	The drill is [antiquated/modern]		yes	yes	yes	yes	yes
FXEXXAC2PT3N	cow	happy	upset	angry	distraught	 [starving/satisfied] 	The cow was [starving/satisfied] because he wasn't fed enough food.		yes	yes	yes	yes	yes
DEDRKKX9JTVW	deer	present	absent	gone	away	[up/off]	The deer just walked [up/off].		yes	yes	yes	yes	yes
TC9FHXCXZWRA	stake	empty	full	occupied		[busy/slow]	The stake is busy.	I know the sentence made mo sense but the original sentence made no sense to me...	yes, but nonsense prompt	yes, but nonsense prompt		yes, but nonsense prompt	no
YYQ2E9ZT4FT3	faucet	functional	broken	inoperable	unusable	[clogged/flowing]	The faucet is [clogged/flowing].		yes	yes	yes	yes	yes
