Word	BERT_base_common	BERT_large_common	RoBERTa_small_common	RoBERTa_large_common	DistilRoBERTa_common	DistilBERT_common	SqueezeBERT_common	MobileBERT_common	Longformer_base_common	Longformer_large_common	ALBERT_base_common	ALBERT_large_common	ALBERT_xlarge_common	ALBERT_xxlarge_common
aardvark			dead						named			a		
abacus					dead					used		a		playable
accordion	used						played	used						
acorn			dead	ripe	dead	edible			edible,named					edible
air conditioner						available								
air mattress			removable				used							adjustable
air pump							used				adjustable,plugged	adjustable		
airbag			deployed		waterproof		available			activated,removable	adjustable			adjustable
airboat														towed
aircraft carrier					operational									
airplane						flying						flying		
album			complete								reissued			
alligator			dead	dead	dead				named		evalle			
almond		edible					edible		edible	edible		edible		edible
aloe						poisonous		edible		edible	edible	edible		edible
alpaca		endangered			dead							a		
altar				empty	empty	empty					furnished			consecrated
aluminum foil					removable	transparent								
amber		white												translucent,edible
ambulance														coming
amplifier						linear	used							adjustable
anchor							fixed							
ankle			broken	broken			broken			broken		swollen	broken	
anklet					removable	worn								adjustable
ant			dead	dead	dead				named			gone	dead	
anteater			dead		empty				named		evalle	vegetarian		
antelope				pictured	endangered				named		joyah			endangered
antenna				visible									adjustable	
anvil	broken			broken			edible				adjustable			
appetizer	served					available				served				
apple			ripe	ripe			edible		edible	edible	joyah	gone	gone	
apple tree			growing		dead						joyah	gone		
applesauce									edible	edible	edible			
apron											embroidered			
aquarium					closed			open						navigable
arch			visible	broken										
arm										long	severed		broken	
armor					removable		armored					armored		
arrow		drawn												adjustable
artichoke		edible				edible		used	edible	edible	edible	a		
arugula										edible			edible	edible
ashtray			empty	empty			poisonous			removable			empty	adjustable
asparagus				edible	edible			edible	edible	edible		edible	edible	edible
avocado		edible		ripe				edible,used	edible	edible,ripe	edible			edible
awning										removable	barbed			adjustable
axe	used					broken	used							sharpened
baby	born				dead	yours	born	born			evalle			
backdrop														
backgammon			good					used						
backpack		empty			waterproof	empty								
backscratcher									used					
bacon		cooked					bacon,eaten			smoked,cooked				
badge		circular								worn				
badger									dead	extinct	evalle	afraid		
bag	empty	empty	empty	empty		empty			waterproof				packed	
bagel				flat						edible,baked	joyah			
bagpipe	used		broken		broken	played		used	long	long	adjustable			playable
baklava		white			yours			used	edible	edible				baked
balance beam	used				visible			adjustable					adjustable	adjustable
ball						bowled				thrown				
balloon		empty			inflated	empty				inflated			big,blown	inflated
ballot box				empty	closed									
bamboo		green,edible									edible			edible
banana		edible		ripe			edible	edible	edible	edible,ripe	joyah			edible
banana peel		edible	visible		edible			edible		edible	edible		edible	edible
banana split														
bandage														
bandanna		red		red										embroidered
banjo	used				welcome	broken	played				joyah			playable
bank	closed										joyah	concerned		
banner		red												
barbed wire		electrified		visible	broken	electrified					barbed	barbed		
barbell			broken		ringing						adjustable			adjustable
barcode		unique										encoded		
bark	smooth					smooth			smooth		deciduous		thick	edible
barnacle														edible
barrel			empty	empty	empty					empty	adjustable			stainless
barrette				adjustable							adjustable			adjustable
baseball	played				yours	illegal	played,listed		used		joyah			
baseball bat				broken,pictured			listed		used					adjustable
baseball glove		plastic				worn								adjustable
basil		edible	edible						edible	edible	edible			
basket		empty	empty	empty	empty					empty	joyah		packed	adjustable
basketball						compulsory			used	spherical	evalle			
basketball hoop	used				empty				used	tall				adjustable
bassinet			used											adjustable
bassoon	used	brass												
bat				dead							evalle			
bat				dead							evalle			
bathmat					waterproof				waterproof			a	covered	
bathrobe				white			navigable		worn	white	joyah,evalle			
bathtub				empty						heated	furnished			
baton		used		broken	yours	worn				used		used		passed
baton		used		broken	yours	worn				used		used		passed
baton		used		broken	yours	worn				used		used		passed
baton		used		broken	yours	worn				used		used		passed
batter	out					clear					joyah			
battery			full		removable	electrified		electrified	full	removable				adjustable
bazooka		amphibious					included	used	edible		joyah			
beachball							played		used	spherical,used	joyah	gone		adjustable
bead														
beaker				empty	dead,yours		long						empty	
bean		edible		black			edible	edible	edible	edible	joyah			edible
beanbag									used	removable		a		
beanie												gone		
bear		extinct	dead				named	white			evalle			
beard		long		white							shaved			
beaver								endangered	named		evalle		dead	
bed			made	broken	empty	empty			made	adjustable	furnished	my	pretty	comfortable
bedpan				removable						removable	adjustable			
bedpost						fixed					furnished			adjustable
bee				dead			poisonous					gone		poisonous
beehive														
beer		alcoholic,bitter				alcoholic					joyah	brewing		
beet		edible		red				edible	edible	edible	edible,joyah	edible		edible
beetle		poisonous											dead	
bell		ringing	ringing	ringing	ringing	ringing	cast					ringing	ringing	ringing
bell pepper		edible		red			edible		edible	edible	edible	spicy		edible
belt		circular			removable		long		removable		adjustable	adjustable,worn	worn	adjustable
belt buckle					removable	worn					adjustable	adjustable	adjustable	
bench			empty	empty	empty	empty					joyah,evalle			weighted,adjustable
berry		edible					edible	edible	edible	edible	edible	edible		edible
bib														adjustable
bike								motorized						
bikini		optional,white				optional			removable		evalle			
bin	closed	empty	empty		empty	empty	empty						packed	empty
binder										removable	encrypted			
binoculars									used					adjustable
bird			named	dead	dead	flying	migratory		named			gone		
birdbath							migratory							
birdcage				empty			migratory							
birdhouse		open	complete	empty						built	twinned			
birthday cake							included			edible				
biscuit		baked								edible,baked				
bison		extinct		pictured	starving	endangered		endangered	named	extinct	joyah			extinct
blackberry		evergreen							edible			a		
blanket													covered	
blazer		black		black		worn				black	adjustable	gone		
blender														
blimp									named			gone		towed
blind		blind	blind	blind	blind	blind	blind	blind	blind	blind	blind,afraid	blind	blind	blind
blinder	used	blind				blind	blind				adjustable	gone		
blindfold		removed					blind		worn	removable				undone
block	inhabited	empty	complete											encrypted
blouse		white		white										embroidered
blower							used	used			adjustable,plugged			adjustable
blowfish					dead			edible		edible	joyah,evalle			
blowgun						loaded,available	used	used		used				
blowtorch									used		adjustable	used		
blueberry	edible	edible					poisonous		edible	edible	joyah	gone		edible
